person,tran_count,tran_amoun_tot,tran_amoun_mean,tran_amoun_max,tran_amoun_min
016086228d58476599d0b47881c25509,5,83.2,16.6,31.2,9.6
01613170f679422a8acfa96f0f19fdf2,5,10.3,2.1,4.4,1.1
01633b71b3a2457aa7d35d8bcc3afb5a,8,161.5,20.2,24.8,11.0
016871ea865d4338975026ae08d221d0,3,45.8,15.3,19.0,12.2
016b37032984457fb33ba2767fcc8c9f,15,55.2,3.7,13.4,0.1
016edb1d1d67477391c5337545a5d98a,9,131.0,14.6,19.5,8.3
017160c1cdb845d48abec3c330b4427e,9,198.1,22.0,26.5,17.6
01772eae932447f9a853461a60820dc6,8,58.3,7.3,10.8,2.8
01784d3e205548a594ba3fcdbdaaf17d,13,151.8,11.7,24.7,4.8
017a93d1204f457bbe85f5e7de062b56,13,110.5,8.5,18.6,1.8
017febbe52e64ac19cf28cf0d44386e4,10,1003.4,100.3,713.2,22.6
01873cc8de734961949af7c04b2e9872,18,50.6,2.8,7.3,0.2
01887dcd32b64feb807e2436548b6c87,3,64.3,21.4,25.0,19.2
018a49ffb8cf4812903e7c1f56fbb0b0,13,98.6,7.6,14.4,3.0
018b8f83176d471db63d9733c741fc8a,2,37.0,18.5,18.6,18.5
01925607d99c460996c281f17cdbb9e2,2,54.6,27.3,29.1,25.5
0193c118afe84208b33ffeb1dcb277d8,2,6.0,3.0,3.8,2.2
01956670cf414b309675aa73368b94a9,10,248.6,24.9,31.7,19.9
0196d2062b8d4d019b8d96292266e8a4,4,61.1,15.3,27.6,6.6
0199681637524988a14245632b8376af,10,223.0,22.3,28.5,12.7
019be0c6f8fd4000b1967c7308b4bdf4,21,141.2,6.7,12.4,1.9
019cc78d8fed432ca6df71c132c72a99,7,16.5,2.4,3.4,0.7
019ed95d987446e3947da0246cdab831,8,515.1,64.4,342.1,14.2
01a202a9021e40aeaa5451a5d134c16c,6,156.0,26.0,37.7,18.0
01a5e8b57bc04e0292525f3e2817fa17,3,57.1,19.0,25.7,13.6
01ab25c31f034f85bc4ac9d286fb7a76,5,644.3,128.9,573.1,15.6
01ac633821f0498893320b41b5b22dfc,12,251.5,21.0,30.9,13.3
01b6d7e8f0884deb936a8a7f15dba895,12,162.9,13.6,26.6,5.2
01d26f638c274aa0b965d24cefe3183f,8,39.7,5.0,8.3,1.7
01de69b5edab4b89859ea8a7214ba35a,7,765.9,109.4,637.3,19.7
01e09d713abe4a36a70a33fe4b40534e,4,86.3,21.6,27.8,14.0
01e57718fc6b49b2875a9c02b32905b1,15,101.2,6.7,24.3,1.7
01e8739670a042b3877f8e843bdf55a7,8,181.2,22.6,30.3,12.4
01e91c5bc14148b2a4de0ce819e4c500,9,13.1,1.5,7.4,0.2
01e97a4633bf4963838a4aa9ed1dce3e,8,18.0,2.2,6.0,0.5
01ef4c6618b64334a15914ff9963eaac,5,135.6,27.1,35.8,18.4
01f33ff554d0443a9841adfd66d253f6,3,53.9,18.0,20.9,16.2
01f46a5191424005af436cdf48a5da7c,8,166.6,20.8,30.1,13.6
01f663b988964a4caca8b19abecb551d,5,97.6,19.5,30.0,14.1
01fe5ec668f241608eb2f7ec374cb1b7,10,161.9,16.2,21.8,7.1
01ff6c5d8d014dbd8c120e2b43a065ea,9,139.4,15.5,22.8,6.8
0200f61c69da4c2ea078842cdaf234e6,9,195.0,21.7,29.1,14.2
020354b1aea342cbaa018993f68fba68,2,7.7,3.8,6.8,0.9
0206e1388c34454caba2b7fce3123943,4,72.0,18.0,20.9,14.7
020be6e9805649858595dfbaab15ccd7,16,44.7,2.8,7.4,0.2
020be8b0fafa446ebcce6449b20bc92c,11,34.9,3.2,6.0,0.6
020c2d7b3d1b4d24b9502626b2d7ef46,6,20.9,3.5,5.0,1.4
020cd0f8047142e18a754303f9337d53,13,232.9,17.9,21.4,14.2
020d3a52b9ce432ea5f98fc58e9bfcc4,6,16.9,2.8,5.2,0.4
020d72e77c704c42bb0a858c1aaa3bcd,18,252.1,14.0,27.9,6.0
0215efe5136d4a038cb81eae92d59368,13,767.3,59.0,570.8,11.2
021616b8deea46438e3badc7fca5894d,12,218.5,18.2,23.9,9.1
0217c4393fd54e74a523b63c0fcc3da5,13,230.2,17.7,27.1,9.4
0218964095c94da0bfac44cf40c9343f,9,223.7,24.9,40.1,12.2
021adce38ab34ede96422ae107643fd5,14,247.3,17.7,29.4,8.4
021c1940868647efbcb40ccdb942813b,5,86.3,17.3,23.9,13.6
0222d267445f4f078bc325224e471766,10,23.2,2.3,3.9,0.3
0223ed57fef54575ac0b256937dc68fa,9,14.8,1.6,4.2,0.2
0225045e245f4b7289cc55c0b5870ae2,4,59.1,14.8,19.5,10.2
022f5553a0704b53ba26f2d23cb1234d,23,371.9,16.2,24.8,8.2
0231c913a51e420783be6bdeb75aa842,8,34.0,4.3,11.1,0.4
023411b8a45a4715979dae6cec425a8b,10,21.6,2.2,3.8,0.4
023a42cf62f742b795a975d56955e220,18,50.1,2.8,6.7,0.2
023fd15e56184ec19e23ed5a31c87543,7,28.0,4.0,7.7,0.2
024218e67fa549a4a0a99b32b7b6fbf9,11,193.4,17.6,25.0,7.0
0246e7cc7a3d4a98a940cb13776b5b55,16,47.4,3.0,5.6,1.0
0246f8fdf0b64014a98822b70231c58d,4,89.4,22.3,27.6,18.7
0247953d899b4a99acab74fa0a807c0f,10,22.7,2.3,4.1,0.8
0251876076024444864473545adce065,14,27.9,2.0,5.9,0.2
0252aa6f0dee4585ba886945c60f48f5,1,10.4,10.4,10.4,10.4
02557fafcf334c30a22c312c5647f71a,6,17.2,2.9,9.3,0.5
026876bc8c6a4e0c8e330342c92cc844,1,26.4,26.4,26.4,26.4
027561a162a54d86b6d45af5071c4d27,3,9.3,3.1,6.7,1.0
027596e6ed19471392923eb833b25fd3,6,14.9,2.5,6.0,0.9
02765747959045a0a7c452888b2f31eb,5,49.3,9.9,15.2,4.3
0276c9a3092d4f79a29d61a1462f9b4d,12,204.5,17.0,25.9,10.0
027c18923c0146e58ccd615f6a62d82f,11,24.6,2.2,5.6,0.8
02865fee714e466e99f9bb7a7203887b,5,19.0,3.8,9.4,0.0
028a12f0ee584455850300886174f3d7,3,72.4,24.1,30.7,15.7
028c88a958e54c36a31c4800fd6e887b,14,372.0,26.6,42.3,17.3
0295719cd357460cbab54f2392b01d19,10,34.1,3.4,7.9,0.1
029e063479234fb1b6c8727c3d45de62,3,69.8,23.3,37.3,12.2
02a00d256444415da8460cd2a3457ea7,5,22.3,4.5,8.9,2.1
02a3aa431c1047be8eafec3dcd6b5fd0,6,114.8,19.1,25.8,13.4
02a458e1233342b79caff81edbcc30a9,2,53.7,26.8,32.2,21.5
02abd909ebc94aca8766f3f0ee39db80,8,126.4,15.8,20.1,8.7
02b148f44eee4b9ca7487371472a6781,13,29.2,2.2,7.1,0.1
02b5aa5725f94bcb94ca58208015b7bc,13,39.9,3.1,7.4,0.6
02b6895b3cab4f79a116bddc1c70b5c3,16,47.8,3.0,10.0,0.1
02b7a80a321c4b078af92d494cc0f012,11,400.2,36.4,301.0,6.7
02ba8c272f284139abef53e0290bfb67,4,91.8,23.0,26.4,17.4
02c083884c7d45b39cc68e1314fec56c,10,29.9,3.0,9.8,0.5
02c6daf74a49491ca397f105ef944784,3,78.9,26.3,32.1,22.3
02c89861ce2c4010bf4ed63f6f6d5df3,13,261.7,20.1,29.8,9.8
02c8c9806a8c44f792a218fb2e8756b3,4,21.9,5.5,6.4,3.7
02d206df55d54efda515783e1c525e8d,2,4.4,2.2,2.3,2.1
02d2c404f19440ff9038c0d60a695cbd,7,19.5,2.8,8.7,0.3
02db8af535e54416a01aff51836d166f,1,0.6,0.6,0.6,0.6
02dd040b77914163b1fd02efc3976d55,12,181.8,15.2,23.4,7.1
02e2211319524b9e8bd09794d00d8513,15,66.0,4.4,8.9,1.6
02e4c9dff62e4857a429a4be3ba73ed0,14,48.9,3.5,13.0,0.5
02e5396559f94469b6d03e40d85830c7,8,206.2,25.8,36.7,14.2
02e6dbe7c694441a88f9160b6b0e1a35,11,148.9,13.5,23.0,8.1
02e6dd10b22c43fcb5a2dfc0038dac22,11,42.5,3.9,7.7,0.2
02eba2268a3640bb8e85880e12617c5f,12,189.0,15.7,21.3,9.9
02efe2a67be247a686f79ba1cbce42f1,10,262.1,26.2,39.4,15.4
02efe413dd194069ab58abde38ab5e02,6,182.3,30.4,49.8,17.9
02f446e152254ab7b01e29698932dd01,7,19.2,2.7,4.8,1.1
02f638a6c98241c98b24a06ca489aac0,5,17.6,3.5,6.6,0.2
02f77bb76ed14d28a05e23b3e00aeb9b,4,15.8,4.0,5.6,0.0
03019e49a5164723ae527bbd6949e0c1,8,164.5,20.6,30.2,12.4
0305b52a24744a9bb660bffc6b39e884,6,127.3,21.2,23.6,16.8
030c30c1955f4a17be09b692caf5ec5f,16,66.1,4.1,13.5,0.6
03118ab70a404fada1a433cd6abaa491,18,318.2,17.7,30.8,9.2
03257d4fcb6641aebaa46d5605d205ca,12,207.6,17.3,25.6,4.6
032aaa79b15e4103a9e91a786d416734,11,149.2,13.6,110.5,1.8
0335d274249f4eb6b3c51527f02a3216,12,244.0,20.3,29.4,14.4
03361f5f681e46ad97796d52caf9afa2,11,18.7,1.7,4.8,0.4
03374e3f14564b36a7138154ed8c194a,9,26.2,2.9,10.3,0.7
033bf5269a494dd787e5e9f4a45b843c,2,53.7,26.9,28.2,25.5
033d0a511a5c452ea2be37a23f8c6dcb,5,112.2,22.4,31.9,14.8
033f0ee2250e475b87f70115e7895957,3,90.4,30.1,39.2,16.7
033fed8bb1504885b866429db25543a0,3,90.0,30.0,37.9,21.5
0340f0361285411ab60a24823b020112,7,20.6,2.9,5.1,0.3
0342c7c449a84440b3f7a80ad095761a,17,245.2,14.4,20.8,6.0
0345b2da6507473ca4400ed84dc6725a,13,39.4,3.0,9.3,0.0
034946bd82b34a219b556a47f1200828,2,22.1,11.1,11.5,10.6
034b962ed61d4da1bb0baaec84cc2e85,8,139.5,17.4,24.6,6.7
034ce97360c6485ab990d903343f9f08,5,22.6,4.5,8.4,1.2
034dcdec0a0547a19d77dcf2bc8ecc48,1,11.4,11.4,11.4,11.4
03533ca5a4244ca3ac48b9c8ccba8332,8,17.1,2.1,4.6,0.1
0355c6a5fdbc429ea5b05e8a9ecd2eae,6,109.1,18.2,21.1,16.0
03566626393f43a88c55de21c61761d0,3,5.4,1.8,3.2,0.4
03568fe0e51b41a9bd752ec8be307ba5,4,71.8,18.0,21.3,13.1
03575a43a3da4691998de01fff617f99,8,201.3,25.2,36.0,17.3
035d5aa3c23a4059ae663b4c07aa26ce,12,262.0,21.8,30.2,16.6
03637e48ffda4bf9b73b079d03c0bbe3,8,99.0,12.4,19.9,7.6
03659e112e884f38afa963dcb243c6a6,5,6.3,1.3,2.3,0.3
03676dc08a0a4899b0af5030bb6da6f5,5,97.6,19.5,33.9,14.0
036c34e6a32a463db11ebb398a8719b6,7,19.0,2.7,6.2,0.6
036e4bedca2045afad50fda2d3b505ab,1,24.8,24.8,24.8,24.8
036f1e5cca91478685c8cef24cc8b076,6,14.8,2.5,6.2,0.4
03716dbf46394867ba126ebe1ebc202e,3,3.5,1.2,2.2,0.6
037334c596b849cc8f8004e4e663b005,11,23.4,2.1,8.1,0.5
0375600415e24e0a9fd83ec191d5955d,13,41.4,3.2,11.2,0.2
037c3e0c1cd6477dbe15812a05619fc5,7,135.9,19.4,34.7,8.7
03833a1fe27f4435917da7e54c6fa48a,2,2.4,1.2,1.4,1.0
0383a12d3a2d4fbb86ec83bd0c25eead,10,91.9,9.2,57.6,0.4
03887756866f4ea9b74b7e1b83ffac44,17,251.8,14.8,29.7,9.3
038d32f25cff4833ab44c5123e42583a,11,38.5,3.5,7.5,0.7
0390715ee2a4443eac8582a5941d61a9,3,51.8,17.3,25.0,11.0
03922ce960124f4a8c4acd2a332ef296,4,18.8,4.7,6.2,3.1
039e0c539c2f4fc582423412a8bceb40,7,11.3,1.6,2.5,0.3
03a6837af25144b18936719d7afd5a58,6,26.1,4.4,7.2,1.9
03aaca8d2f4448a0a1a4bc1423b3b45a,3,6.1,2.0,3.7,0.5
03ab43c52f3f44e3879910eaf9cd138d,4,6.0,1.5,2.1,0.9
03adb16f61e44e6594d6d8e38d0a3e64,5,117.6,23.5,30.6,17.7
03ae3b023c2540f4969b64b633be5ede,11,30.1,2.7,7.3,0.1
03af4a51012e4a00809df85c9279e4e4,6,155.4,25.9,32.7,20.7
03b0358ba8d945b3ac283f25969a0cca,2,2.1,1.1,1.1,1.0
03b326a99f5345df8b4d21ed26bdb0da,7,161.3,23.0,30.6,13.0
03b810ec338c4a85b063449f40c7b9cc,4,13.9,3.5,4.9,2.2
03bbce97de8240359c2706a4c9f537f2,12,39.2,3.3,7.3,0.6
03c0b69b3db24c70bba1622bc8dd8459,20,147.0,7.4,12.2,2.8
03c23b2ec84f4c5296e99c939288bcd4,4,87.1,21.8,24.6,19.0
03c7b0b202294fbe8edbd73b0b499fac,3,11.6,3.9,6.2,2.3
03cc530b458e4fb180c222777916e9b5,22,48.2,2.2,9.8,0.2
03cd7c3f955a4c47bd3caf4e9a2db37c,9,173.6,19.3,36.8,11.0
03deb7cf0ebd4c7889a8a9e44df1c50a,12,48.8,4.1,9.9,0.3
03e507f56bd34d3dacdecb5eb87111f7,14,287.4,20.5,34.1,8.9
03e67807671e4cb4bb34f2ebabc97d28,13,209.1,16.1,25.8,7.7
03e866224ec641c58bc93a69be00de9c,7,26.2,3.7,7.4,1.7
03ef53e2d3e1436eb3b2042a4825adec,8,194.1,24.3,40.2,18.5
03f1ad04292f47b2b1299cc92f8f2a5d,14,303.2,21.7,29.7,12.3
03f75ac6db7a457dbd6086e6b86a4fd1,4,20.5,5.1,8.5,2.0
03fbbeecf81b468684b50dbe63ac4587,7,12.7,1.8,3.4,0.3
03fe8e9f855846c88fd01c4b7b147db7,4,57.8,14.5,26.0,9.4
03ff3cf4aec84162be697c28346bdd5a,9,37.0,4.1,9.4,0.6
040704e99ab84cd08977858fab9b9276,7,144.3,20.6,35.0,12.6
0409252539634eca8a8d1b5407caa582,4,99.6,24.9,90.5,1.2
0409df7f3af74e8c813d975fbd4ceb02,3,64.2,21.4,28.8,16.0
040b2e6d3e914d609f6764b34b5a3a88,3,84.4,28.1,33.0,21.4
0414fcebbd7f4a19bca352622b1c84e2,7,27.7,4.0,8.9,2.2
04189492f0aa46f2b6fefe34ffbc7062,17,72.8,4.3,12.1,0.1
041967ceb80841ddbd306958d4f744ac,6,139.4,23.2,35.5,14.0
041f00ddd6f340b18c174a0c997c9955,15,30.8,2.1,4.9,0.2
041fd7c6b796430a867c4e03d2ff8f4d,26,87.1,3.4,10.5,0.5
042d7ab61d1143fe9230bcb1af34aa5a,3,41.1,13.7,16.0,11.9
04326bc8a2e94fe09557d30388647e52,4,12.2,3.1,7.0,0.1
04362cece3104f4ebcb3d49ef0bc7e9c,14,150.9,10.8,113.9,0.2
04369aa7ac9a4440a794c471ae7c3f77,5,9.7,1.9,5.1,0.0
043702ae29bc426e9f65ef7beb6cd08a,2,57.0,28.5,31.1,25.8
043bcfeacb874bbc837300701ce25870,19,355.5,18.7,35.3,6.2
04452c214f5f401bb1418313c1526cbb,6,138.3,23.0,29.9,11.5
044f41cfd98940119477d73c81f973a3,6,12.2,2.0,6.3,0.2
0454292436bd4cee98e8ec873e30433e,8,139.0,17.4,31.2,8.3
0456cf6870f849cc9e1ac5ea9e02dccd,2,31.9,16.0,17.6,14.3
04698a1182a24807ad4c36f12b67c5ef,5,90.2,18.0,26.9,9.0
046a2f9c32c14e7e9ad508f811ebfa2e,7,51.8,7.4,12.5,1.9
0471fe94846d40e9b5bc8ec77293720c,9,34.9,3.9,7.1,0.4
047a2de0c17849c89d04248c357cab52,6,23.2,3.9,9.3,0.9
047ad0135cfe4c0ea5ba019da4de9c52,10,171.6,17.2,22.8,9.2
047db31ef98140149f97667abee20860,9,9.2,1.0,2.5,0.0
0485b8cb0bfc4d938895bbd6d8cbd7df,10,26.6,2.7,7.4,0.2
048bf07732684843b6334f8f157af033,1,15.2,15.2,15.2,15.2
0494aa6671414fab9837fa3cd45e72bc,17,150.9,8.9,16.9,3.5
04a19ef08c9c4648a587d64ff72bf6df,14,237.8,17.0,32.5,6.3
04aa84f9a46a4920b70386c3fe60165d,2,60.3,30.1,30.4,29.9
04aeb750695a4d9eb3de6ce2ddb7b1e7,5,15.1,3.0,5.6,0.7
04bd9be0d1374492800aca71e512ed51,19,167.9,8.8,103.7,0.5
04c143b7068e4c32995e1031173bea43,6,16.6,2.8,4.2,0.4
04c3b99e274c40b4898ed7653e09cb62,6,159.9,26.6,41.0,18.6
04c4f933a8864cccbd4560e090355657,2,32.8,16.4,17.7,15.1
04c66db4925042a5bb103fec87225370,3,89.3,29.8,33.4,23.9
04c769db13764e6784ecd8e3fc25e207,4,6.6,1.6,2.6,0.7
04ca4f4a66934cec9d3bbd8833572cf7,9,132.2,14.7,18.5,8.8
04ca68b26ef14fbc96eb01ab1f2d1fc2,10,28.7,2.9,6.2,0.5
04cb9d0033f142efa2a367f4ef273460,4,57.7,14.4,18.0,9.7
04cfc7c495c1419f9a316c2a9876af97,8,108.1,13.5,22.6,9.0
04dc393b52714269877cf4ceda3f78f8,8,43.9,5.5,11.4,1.5
04dc7c54fc8147069875a5def52d711e,14,208.9,14.9,24.2,9.4
04e0842b079c4113a759aa6e09ea17ed,19,253.5,13.3,25.6,7.2
04e0eff0b4704fc291bbe1275f01fb7a,13,180.6,13.9,18.2,7.7
04e34b1c5fe64fbcb76bfe47ebbbf015,6,139.9,23.3,31.4,11.8
04e39b3e8fc449cfbcafd7dba2429f1c,8,135.5,16.9,22.6,10.8
04e44377fe9046a3b5b781d1cc74d064,3,6.5,2.2,4.4,0.3
04e4f53f9be74c09a9751838010386e5,16,216.5,13.5,29.2,6.7
04e5255c9e754c66b83c06ec70f62203,11,93.6,8.5,16.0,2.7
04ea45ec66574a618b0918834ee08fed,1,21.0,21.0,21.0,21.0
04ec49d81d154a70b3f0d5f280da3756,6,15.5,2.6,6.4,0.2
04f1f44632cd409cace939fa62b5fc7a,6,732.1,122.0,628.4,12.2
04f2e86f182d4fc4b7b1a1858c280a38,14,283.0,20.2,30.0,12.0
04f59344d54947ed8aa82c25effc9487,3,6.0,2.0,3.9,0.6
04fa747cd2d841bcaf08f0a64e82bbef,5,17.2,3.4,9.9,0.2
04fad15f96d446f483823ad08857e752,6,180.9,30.1,48.2,21.2
04fb6b47e11640139f3ef5d74d7a79a1,6,86.6,14.4,22.5,10.8
04fcbc5e1faf4b7bba20116ecb30ca17,6,58.5,9.8,13.7,5.8
05018c82b3d241328a5b0558dada3286,5,129.4,25.9,38.0,12.0
05037de294c540d3ba92aa627b992066,10,23.4,2.3,5.2,0.7
050a57f4d675402ba1a06c8c49a4a200,4,10.7,2.7,6.7,0.8
050cdb2d5b4b4bb3b1c612e17e0e8c1b,22,189.3,8.6,111.2,0.2
051006a0cddf40e0a973d9317c032086,17,51.8,3.0,10.2,0.2
051066a2c1284e23a1e3a2cc1389f23f,10,77.6,7.8,12.8,2.8
0514e61ffb1c4b52b8f0bf5ed2a348c7,5,7.9,1.6,2.2,1.0
0517e2aca44d4327875c3bb8478e492e,7,82.8,11.8,19.5,7.1
051b92f5a9f94328a8721e86905c1d3d,9,264.5,29.4,38.7,20.0
051e221bbd75481c8d935f6adcee2edc,19,322.8,17.0,25.8,6.7
05298f5390c7417c8dbbcbef9f081800,19,75.0,3.9,18.4,0.2
052f1e4cb527405facdb09a0b7e70861,12,188.0,15.7,20.4,9.0
05313b089485492aa50683d7f00fcbdd,9,28.7,3.2,7.5,0.2
0537e8df8a5a418ab1fd28c2063ad6f8,13,195.8,15.1,24.9,8.9
0538071eb35247af8c2816ec75a3c87c,11,166.7,15.2,20.0,7.2
053ba80f39aa4e4394ecf2d64d8ca85f,14,31.5,2.2,4.6,0.2
053de26a38684d628b83fef38eae0c69,4,8.1,2.0,3.7,0.9
05417c4386804c4fa74e34a3ca632f49,11,18.6,1.7,4.0,0.1
054244238c794ca380a197a21b2fd6e6,5,17.1,3.4,6.8,1.1
054a387e28fb4939abfe484ea801ff3f,12,185.0,15.4,28.0,7.2
054cfa16ec4a4757a41b1a4d0fb8add7,8,133.2,16.7,26.6,6.6
0552370c278345298835cc70e616c96c,3,64.8,21.6,29.6,12.1
0555eeabf1284cfd85c306caf9360d05,5,102.0,20.4,36.0,14.9
055640cd12d04eb4b8a51ec67d451fc7,23,213.2,9.3,14.6,3.8
055a06b9a6ad42fcaa1fe7706b5e21aa,3,56.8,18.9,19.8,18.3
055a2a48b6f84b5ba3427e05e6beeb3f,6,20.3,3.4,7.9,1.3
055eab487b874f38b65f3edf31b5eb41,16,51.1,3.2,7.4,0.8
055fe39c422643d89a93cf05cf610b2e,14,36.3,2.6,7.8,0.3
0561e602225b441aac45ff6e5bb74037,8,231.5,28.9,186.0,3.5
056495e7cd754a6c81b25d4ae5ca5e02,14,51.5,3.7,8.2,0.4
0565285a6b374513b887f9a6af7fa5bb,4,95.7,23.9,29.2,13.2
056b230b94304920a5c289974acaeb0c,10,30.5,3.0,10.7,0.5
05703c17280649238ea5005898dc7076,6,129.8,21.6,28.5,16.7
05746077fd824d72899e035cf893ce0e,7,26.7,3.8,9.2,0.1
0578d2389a8f4e4a81f4d2648b85293e,3,62.5,20.8,24.6,17.8
057f6741e0e0438e827cc0b18c601160,7,120.4,17.2,22.4,10.4
0580b842b328497ea4bd463af56c17e2,3,90.2,30.1,37.9,25.0
