person,cnt_tran,sum_am_tran,mean_am_tran,median_am_tran,min_am_tran,max_am_tran,small_tran_count,big_tran_count,range_amount_tran,mean_t_tran,median_t_tran,min_t_tran,max_t_tran,range_t_tran,freq_tran,recency_tran,max_to_sum_am_tran,median_to_mean_am_tran,weekly_tran_mean,weekly_tran_min,weekly_tran_max
00b5fb9d842d437e83033ad9e36f7148,3,7.74,2.58,2.98,0.91,3.85,1,1,2.94,554.0,522.0,480,660,180,1.67,713.08,0.4974160206718346,1.1550387596899225,1.5,1,2
00b901d68f8f4fd68075184cd0f772d2,4,53.55,13.39,11.85,9.66,20.19,1,1,10.53,201.0,84.0,66,570,504,0.79,713.2,0.37703081232493,0.8849887976101568,2.0,1,3
00bbce6533f44ddeaf4dd32bcab55441,7,77.21,11.03,11.28,5.39,18.51,2,2,13.12,356.57,354.0,72,600,528,1.33,713.16,0.2397357855200104,1.0226654578422485,1.75,1,2
00bc42a62f884b41a13cc595856cf7c3,8,150.64,18.83,18.44,13.63,23.99,2,2,10.36,455.25,513.0,18,702,684,1.17,713.02,0.15925385023898037,0.9792883696229423,1.6,1,3
00bc983061d3471e8c8e74d31b7c8b6f,3,63.5,21.17,21.4,14.11,27.99,1,1,13.88,328.0,306.0,282,396,114,2.63,713.45,0.4407874015748031,1.0108644307982992,1.5,1,2
00c20a9202d5475190b31a24de6fb06d,8,164.01,20.5,20.87,14.41,25.2,2,2,10.79,417.75,474.0,54,624,570,1.4,713.13,0.1536491677336748,1.018048780487805,2.0,1,4
00c2f812f4604c8893152a5c6572030e,5,124.09,24.82,24.21,12.97,39.06,1,1,26.09,376.8,396.0,132,582,450,1.11,713.18,0.31477153678781533,0.9754230459307011,1.6666666666666667,1,3
00c32a104f0c4065b5b552895fb22e34,2,6.98,3.49,3.49,1.05,5.93,1,1,4.88,321.0,321.0,258,384,126,1.59,713.46,0.8495702005730658,1.0,1.0,1,1
00c5a385c71a4d3db5e9b4e31e430943,2,2.59,1.3,1.3,1.03,1.56,1,1,0.53,390.0,390.0,222,558,336,0.6,713.22,0.6023166023166023,1.0,1.0,1,1
00c6035df45840038a72766c6d27a0db,11,241.55,21.96,23.07,8.16,36.65,3,3,28.49,375.82,336.0,48,666,618,1.78,713.07,0.1517284206168495,1.0505464480874316,2.75,1,5
00c91f31f5f74e769fa7a359b63e1a9f,14,134.74,9.62,8.54,4.2,16.96,4,4,12.76,423.86,414.0,204,678,474,2.95,713.05,0.12587204987383108,0.8877338877338877,3.5,1,5
00ceaf16a40341e6996d543d04daa2c2,9,26.98,3.0,4.03,0.1,6.86,2,2,6.76,370.0,360.0,120,690,570,1.58,713.03,0.2542624166048925,1.3433333333333335,1.8,1,3
00cf1bbec83f4a658f8994e556db4633,3,64.27,21.42,17.19,13.8,33.28,1,1,19.48,260.0,156.0,60,564,504,0.6,713.21,0.5178154660028007,0.8025210084033614,1.5,1,2
00cf471ed1aa42a8bdde5561d67da2b1,8,26.18,3.27,2.06,0.65,8.41,2,2,7.76,395.25,399.0,30,660,630,1.27,713.08,0.3212375859434683,0.6299694189602446,2.0,1,3
00d6dc87be4146ceb47fcd4baaaf6477,12,334.64,27.89,24.84,19.38,42.75,3,3,23.37,445.5,474.0,36,672,636,1.89,713.06,0.12774922304566103,0.8906418070993187,3.0,1,5
00d791e20c564add8056498e40eb56cc,19,59.62,3.14,1.76,0.23,10.38,5,5,10.15,399.47,474.0,18,654,636,2.99,713.08,0.17410265011741027,0.5605095541401274,4.75,2,9
00d7c95f793a4212af44e632fdc1e431,7,162.42,23.2,20.69,18.58,29.39,2,2,10.81,445.71,534.0,84,666,582,1.2,713.07,0.18095062184460042,0.8918103448275863,1.75,1,4
00d91c5919514448bc4f718e4e3f26ab,2,44.6,22.3,22.3,19.22,25.38,1,1,6.16,450.0,450.0,192,708,516,0.39,713.01,0.5690582959641255,1.0,1.0,1,1
00e20b4ca129458aaab0f4727ef3513a,20,191.55,9.58,2.95,0.13,125.32,5,5,125.19,437.7,444.0,36,708,672,2.98,713.01,0.6542417123466457,0.30793319415448855,4.0,2,6
00e52682848542c3a6f59b7824e9a5c5,2,23.07,11.54,11.54,7.32,15.75,1,1,8.43,609.0,609.0,594,624,30,6.67,713.13,0.682704811443433,1.0,2.0,2,2
00e8d701c583461e81cc10053681a12b,7,30.98,4.43,2.98,2.07,9.8,2,2,7.73,390.86,342.0,186,702,516,1.36,713.02,0.316333118140736,0.672686230248307,1.75,1,3
00e9f403afa641889cd034ee7c7ca6e9,17,614.59,36.15,12.03,2.23,439.37,4,4,437.14,457.76,534.0,48,708,660,2.58,713.01,0.7148993638035113,0.33278008298755185,3.4,1,8
00ed7e22b32749cfafbfd88592d401d4,11,236.96,21.54,21.86,14.64,32.55,3,3,17.91,412.91,522.0,12,690,678,1.62,713.03,0.137364956110736,1.0148560817084493,2.75,1,5
00ee2ca6421c4af0aeca60a1b3e00f6c,1,4.03,4.03,4.03,4.03,4.03,0,0,0.0,708.0,708.0,708,708,0,1.0,713.01,1.0,1.0,1.0,1,1
00ee69db83964d6da32f8109b32a1ce7,5,15.79,3.16,2.51,1.38,5.88,1,1,4.5,484.8,546.0,240,714,474,1.05,713.0,0.3723875870804307,0.7943037974683543,1.6666666666666667,1,2
00fac72fd6ad448e8019b175267023df,10,186.23,18.62,17.69,11.42,26.69,3,3,15.27,306.0,249.0,6,648,642,1.56,713.09,0.14331740321108308,0.9500537056928035,2.5,1,4
00fbb9b5edb94f02afbaf1eb49bb4d7d,3,80.1,26.7,31.96,15.07,33.07,1,1,18.0,308.0,336.0,60,528,468,0.64,713.26,0.41285892634207244,1.1970037453183522,1.0,1,1
00fdd4416dec40b49180814c0a7c8d76,3,76.65,25.55,25.14,20.35,31.16,1,1,10.81,462.0,432.0,354,600,246,1.22,713.16,0.4065231572080887,0.9839530332681018,1.5,1,2
0100dbd4e8554aa69b73b6ac0547f6bf,3,6.55,2.18,2.14,1.4,3.01,1,1,1.61,370.0,384.0,54,672,618,0.49,713.06,0.4595419847328244,0.981651376146789,1.0,1,1
0103de989e084e0fab400e80678d7591,11,144.97,13.18,14.25,4.82,21.31,3,3,16.49,445.09,438.0,102,666,564,1.95,713.07,0.1469959301924536,1.0811836115326252,2.75,1,5
0106d19a26af41288035afc4b9b6c2c2,10,21.24,2.12,1.12,0.31,6.64,3,3,6.33,438.0,447.0,138,714,576,1.74,713.0,0.3126177024482109,0.5283018867924528,2.0,1,3
01162252405b4524a8fa1bf8e6d5f04b,18,129.86,7.21,7.72,1.44,13.92,5,5,12.48,309.33,363.0,6,690,684,2.63,713.03,0.10719236100415831,1.0707350901525658,3.6,1,7
01176ee7289b48e39ee6261d5c071a07,5,20.2,4.04,3.17,0.42,10.31,1,1,9.89,392.4,390.0,84,654,570,0.88,713.08,0.5103960396039604,0.7846534653465347,1.25,1,2
0118fbb66dd2443a9dd407d2c99a7672,3,64.04,21.35,18.94,17.53,27.57,1,1,10.04,250.0,204.0,96,450,354,0.85,713.37,0.43051217988757023,0.8871194379391101,1.0,1,1
0121fe001b7a404fa9cbe486f8944baf,6,191.68,31.95,30.6,23.18,48.09,2,2,24.91,409.0,405.0,276,564,288,2.08,713.21,0.25088689482470783,0.9577464788732395,2.0,2,2
0123564dbaf144a88a418c33b6350c17,6,176.74,29.46,30.56,21.74,32.85,2,2,11.11,311.0,321.0,36,570,534,1.12,713.2,0.18586624420052053,1.0373387644263408,2.0,1,3
012ee55a90bd4d969b0d0cdfaffdf6ab,11,9.98,0.91,0.89,0.14,1.77,3,3,1.63,427.64,522.0,36,654,618,1.78,713.08,0.17735470941883766,0.978021978021978,2.75,1,6
013094309e1b49e095c098df412d125d,20,69.18,3.46,2.38,0.14,12.07,5,5,11.93,332.1,321.0,72,714,642,3.12,713.0,0.17447239086441166,0.6878612716763005,4.0,2,7
01380da907f8495496679c795867790b,8,154.99,19.37,20.51,8.58,25.83,2,2,17.25,372.75,414.0,204,564,360,2.22,713.21,0.16665591328472804,1.0588538977800723,2.6666666666666665,1,4
013f2c82889f4641a9b847a48861cce0,9,186.54,20.73,21.55,12.77,33.38,2,2,20.61,402.0,378.0,60,666,606,1.49,713.07,0.17894285407955401,1.039556198745779,2.25,1,3
0141d3870a424c03a20390040efad826,4,6.32,1.58,1.09,0.44,3.7,1,1,3.26,457.5,483.0,234,630,396,1.01,713.12,0.5854430379746836,0.689873417721519,1.3333333333333333,1,2
01443a2afce54939a323c978f467c540,16,417.93,26.12,24.82,15.97,40.7,4,4,24.73,425.25,447.0,108,672,564,2.84,713.06,0.09738472950015553,0.9502297090352221,4.0,1,6
014899c751254a62a96ce676eb11ddc2,10,287.11,28.71,28.18,19.47,42.14,3,3,22.67,379.2,378.0,84,678,594,1.68,713.05,0.1467730138274529,0.9815395332636712,2.0,1,5
0155a21497d54684a55c3bc609843768,10,7.94,0.79,0.6,0.1,1.68,3,3,1.58,360.0,357.0,42,696,654,1.53,713.03,0.21158690176322417,0.7594936708860759,2.0,1,3
0157e63b39c5456393026c6c03f3d84a,10,199.65,19.96,20.27,10.23,27.83,3,3,17.6,349.2,402.0,0,558,558,1.79,713.22,0.13939393939393938,1.0155310621242484,2.0,1,3
015c3d28c67e46aa95e9ec97c27220e8,10,235.41,23.54,24.94,13.31,30.0,3,3,16.69,265.2,267.0,12,618,606,1.65,713.13,0.12743723716069835,1.0594732370433306,2.5,1,4
015ef929e016415098eeae8ce59da721,3,18.28,6.09,5.46,5.1,7.72,1,1,2.62,570.0,630.0,372,708,336,0.89,713.01,0.42231947483588617,0.896551724137931,1.0,1,1
015fb0b3fbaa4aceb910fbdf272f7547,6,14.29,2.38,2.12,0.53,4.33,2,2,3.8,417.0,390.0,204,714,510,1.18,713.0,0.30300909727081876,0.8907563025210085,2.0,1,3
016086228d58476599d0b47881c25509,5,83.2,16.64,13.17,9.65,31.16,1,1,21.51,525.6,648.0,282,696,414,1.21,713.03,0.37451923076923077,0.7914663461538461,1.25,1,2
01613170f679422a8acfa96f0f19fdf2,5,10.33,2.07,1.46,1.06,4.45,1,1,3.39,391.2,486.0,90,660,570,0.88,713.08,0.430784123910939,0.7053140096618358,1.6666666666666667,1,2
01633b71b3a2457aa7d35d8bcc3afb5a,8,161.51,20.19,23.52,11.01,24.8,2,2,13.79,483.75,450.0,300,714,414,1.93,713.0,0.15355086372360846,1.164933135215453,2.0,1,3
016871ea865d4338975026ae08d221d0,3,45.79,15.26,14.53,12.22,19.04,1,1,6.82,238.0,156.0,108,450,342,0.88,713.37,0.4158113125136493,0.9521625163826999,1.5,1,2
016b37032984457fb33ba2767fcc8c9f,15,55.18,3.68,3.38,0.06,13.36,4,4,13.3,334.8,348.0,12,714,702,2.14,713.0,0.24211670895251902,0.9184782608695652,3.0,1,4
016edb1d1d67477391c5337545a5d98a,9,131.05,14.56,14.94,8.29,19.54,2,2,11.25,392.67,402.0,90,678,588,1.53,713.05,0.14910339565051506,1.026098901098901,2.25,1,5
017160c1cdb845d48abec3c330b4427e,9,198.09,22.01,22.29,17.61,26.48,2,2,8.87,424.0,438.0,48,618,570,1.58,713.13,0.1336766116411732,1.0127214902317128,2.25,1,3
01772eae932447f9a853461a60820dc6,8,58.28,7.28,7.75,2.82,10.81,2,2,7.99,384.75,390.0,144,600,456,1.75,713.16,0.18548387096774194,1.0645604395604396,2.0,1,3
01784d3e205548a594ba3fcdbdaaf17d,13,151.83,11.68,10.96,4.83,24.67,3,3,19.84,370.62,462.0,6,654,648,2.01,713.08,0.1624843575051044,0.9383561643835617,3.25,2,5
017a93d1204f457bbe85f5e7de062b56,13,110.52,8.5,7.69,1.76,18.64,3,3,16.88,441.23,486.0,138,678,540,2.41,713.05,0.16865725660513936,0.9047058823529412,2.6,1,5
017febbe52e64ac19cf28cf0d44386e4,10,1003.41,100.34,31.34,22.55,713.2,3,3,690.65,252.6,216.0,60,546,486,2.06,713.24,0.7107762529773474,0.31233805062786524,3.3333333333333335,2,5
01873cc8de734961949af7c04b2e9872,18,50.55,2.81,1.74,0.15,7.28,5,5,7.13,458.67,492.0,84,672,588,3.06,713.06,0.14401582591493572,0.6192170818505338,4.5,1,8
01887dcd32b64feb807e2436548b6c87,3,64.33,21.44,20.1,19.19,25.04,1,1,5.85,356.0,300.0,198,570,372,0.81,713.2,0.3892429659567853,0.9375,1.5,1,2
018a49ffb8cf4812903e7c1f56fbb0b0,13,98.65,7.59,6.3,2.98,14.41,3,3,11.43,423.69,468.0,66,666,600,2.17,713.07,0.14607197161682717,0.8300395256916996,3.25,1,6
018b8f83176d471db63d9733c741fc8a,2,37.04,18.52,18.52,18.47,18.57,1,1,0.1,390.0,390.0,228,552,324,0.62,713.23,0.5013498920086393,1.0,1.0,1,1
01925607d99c460996c281f17cdbb9e2,2,54.62,27.31,27.31,25.48,29.14,1,1,3.66,423.0,423.0,336,510,174,1.15,713.29,0.5335042109117539,1.0,1.0,1,1
0193c118afe84208b33ffeb1dcb277d8,2,6.05,3.02,3.02,2.21,3.84,1,1,1.63,603.0,603.0,534,672,138,1.45,713.06,0.6347107438016529,1.0,2.0,2,2
01956670cf414b309675aa73368b94a9,10,248.65,24.86,23.36,19.92,31.71,3,3,11.79,279.6,291.0,72,606,534,1.87,713.15,0.1275286547355721,0.9396621078037007,2.5,1,4
0196d2062b8d4d019b8d96292266e8a4,4,61.12,15.28,13.46,6.65,27.56,1,1,20.91,165.0,177.0,66,240,174,2.3,713.66,0.45091623036649214,0.880890052356021,2.0,2,2
0199681637524988a14245632b8376af,10,222.96,22.3,25.36,12.73,28.53,3,3,15.8,403.8,480.0,24,618,594,1.68,713.13,0.12796017222820236,1.137219730941704,2.5,1,5
019be0c6f8fd4000b1967c7308b4bdf4,21,141.2,6.72,6.31,1.86,12.41,5,5,10.55,375.43,378.0,18,708,690,3.04,713.01,0.08788951841359774,0.9389880952380952,4.2,1,7
019cc78d8fed432ca6df71c132c72a99,7,16.48,2.35,2.54,0.71,3.39,2,2,2.68,360.0,222.0,156,678,522,1.34,713.05,0.20570388349514562,1.0808510638297872,1.4,1,3
019ed95d987446e3947da0246cdab831,8,515.09,64.39,25.36,14.21,342.08,2,2,327.87,297.0,270.0,78,564,486,1.65,713.21,0.6641169504358461,0.3938499767044572,2.0,1,3
01a202a9021e40aeaa5451a5d134c16c,6,156.05,26.01,24.64,18.05,37.66,2,2,19.61,366.0,387.0,126,618,492,1.22,713.13,0.24133290611983335,0.9473279507881583,1.5,1,3
01a5e8b57bc04e0292525f3e2817fa17,3,57.1,19.03,17.76,13.6,25.74,1,1,12.14,230.0,102.0,90,498,408,0.74,713.3,0.4507880910683012,0.9332632685233841,1.5,1,2
01ab25c31f034f85bc4ac9d286fb7a76,5,644.29,128.86,17.93,15.56,573.13,1,1,557.57,501.6,546.0,300,630,330,1.52,713.12,0.8895528411119217,0.13914325624708984,1.6666666666666667,1,3
01ac633821f0498893320b41b5b22dfc,12,251.46,20.96,22.32,13.34,30.91,3,3,17.57,353.5,315.0,12,708,696,1.72,713.01,0.12292213473315836,1.0648854961832062,2.4,1,5
01b6d7e8f0884deb936a8a7f15dba895,12,162.9,13.58,11.93,5.23,26.55,3,3,21.32,392.5,480.0,6,684,678,1.77,713.04,0.16298342541436464,0.8784977908689249,3.0,2,4
01d26f638c274aa0b965d24cefe3183f,8,39.74,4.97,5.04,1.74,8.26,2,2,6.52,435.0,399.0,204,672,468,1.71,713.06,0.20785103170608957,1.0140845070422535,2.6666666666666665,1,5
01de69b5edab4b89859ea8a7214ba35a,7,765.88,109.41,21.5,19.73,637.32,2,2,617.59,406.29,480.0,108,672,564,1.24,713.06,0.8321408053480964,0.1965085458367608,2.3333333333333335,2,3
01e09d713abe4a36a70a33fe4b40534e,4,86.26,21.56,22.24,14.0,27.79,1,1,13.79,552.0,546.0,426,690,264,1.52,713.03,0.3221655460236494,1.0315398886827458,1.3333333333333333,1,2
01e57718fc6b49b2875a9c02b32905b1,15,101.19,6.75,5.31,1.66,24.29,4,4,22.63,426.0,456.0,12,714,702,2.14,713.0,0.24004348255756497,0.7866666666666666,3.0,1,6
01e8739670a042b3877f8e843bdf55a7,8,181.16,22.64,23.1,12.41,30.29,2,2,17.88,306.0,213.0,84,636,552,1.45,713.11,0.16720026495915213,1.0203180212014136,2.6666666666666665,1,5
01e91c5bc14148b2a4de0ce819e4c500,9,13.08,1.45,0.69,0.15,7.35,2,2,7.2,351.33,318.0,150,612,462,1.95,713.14,0.5619266055045872,0.4758620689655172,2.25,1,4
01e97a4633bf4963838a4aa9ed1dce3e,8,17.96,2.24,1.88,0.47,5.96,2,2,5.49,363.75,369.0,78,690,612,1.31,713.03,0.33184855233853006,0.8392857142857142,1.6,1,2
01ef4c6618b64334a15914ff9963eaac,5,135.58,27.12,29.8,18.38,35.83,1,1,17.45,456.0,474.0,384,522,138,3.62,713.27,0.2642720165216108,1.09882005899705,2.5,1,4
01f33ff554d0443a9841adfd66d253f6,3,53.92,17.97,16.81,16.17,20.94,1,1,4.77,494.0,402.0,378,702,324,0.93,713.02,0.388353115727003,0.9354479688369505,1.5,1,2
01f46a5191424005af436cdf48a5da7c,8,166.59,20.82,19.96,13.63,30.08,2,2,16.45,346.5,357.0,12,618,606,1.32,713.13,0.18056305900714328,0.9586935638808838,2.0,1,3
01f663b988964a4caca8b19abecb551d,5,97.64,19.53,18.77,14.08,30.01,1,1,15.93,432.0,396.0,336,612,276,1.81,713.14,0.30735354362966,0.9610855094726062,1.6666666666666667,1,3
01fe5ec668f241608eb2f7ec374cb1b7,10,161.89,16.19,18.08,7.11,21.78,3,3,14.67,442.2,474.0,84,708,624,1.6,713.01,0.13453579591080364,1.1167387276096354,2.0,1,4
01ff6c5d8d014dbd8c120e2b43a065ea,9,139.41,15.49,16.75,6.77,22.79,2,2,16.02,494.67,468.0,186,666,480,1.88,713.07,0.1634746431389427,1.0813428018076179,3.0,1,4
0200f61c69da4c2ea078842cdaf234e6,9,195.01,21.67,22.09,14.15,29.09,2,2,14.94,463.33,534.0,90,702,612,1.47,713.02,0.1491718373416748,1.0193816335948316,1.8,1,3
020354b1aea342cbaa018993f68fba68,2,7.67,3.84,3.84,0.89,6.78,1,1,5.89,636.0,636.0,606,666,60,3.33,713.07,0.8839634941329857,1.0,2.0,2,2
0206e1388c34454caba2b7fce3123943,4,71.95,17.99,18.2,14.7,20.86,1,1,6.16,126.0,45.0,0,414,414,0.97,713.42,0.28992355802640724,1.0116731517509727,1.3333333333333333,1,2
020be6e9805649858595dfbaab15ccd7,16,44.69,2.79,1.37,0.24,7.36,4,4,7.12,505.5,561.0,126,714,588,2.72,713.0,0.16469008726784518,0.4910394265232975,3.2,1,8
020be8b0fafa446ebcce6449b20bc92c,11,34.88,3.17,3.66,0.63,5.95,3,3,5.32,511.64,456.0,222,714,492,2.24,713.0,0.17058486238532108,1.1545741324921137,2.75,1,5
020c2d7b3d1b4d24b9502626b2d7ef46,6,20.94,3.49,3.54,1.35,5.04,2,2,3.69,485.0,471.0,366,648,282,2.13,713.09,0.24068767908309455,1.0143266475644699,3.0,3,3
020cd0f8047142e18a754303f9337d53,13,232.9,17.92,18.82,14.19,21.45,3,3,7.26,270.46,228.0,0,600,600,2.17,713.16,0.09209961356805495,1.0502232142857142,2.6,1,4
020d3a52b9ce432ea5f98fc58e9bfcc4,6,16.93,2.82,3.4,0.38,5.15,2,2,4.77,396.0,408.0,138,624,486,1.23,713.13,0.30419373892498525,1.2056737588652482,1.5,1,2
020d72e77c704c42bb0a858c1aaa3bcd,18,252.14,14.01,12.98,5.99,27.89,5,5,21.9,362.0,348.0,30,672,642,2.8,713.06,0.11061315142381217,0.9264810849393291,4.5,1,8
0215efe5136d4a038cb81eae92d59368,13,767.29,59.02,14.87,11.2,570.78,3,3,559.58,282.92,156.0,6,696,690,1.88,713.03,0.7438908365806931,0.25194849203659775,2.6,1,7
021616b8deea46438e3badc7fca5894d,12,218.51,18.21,19.63,9.12,23.86,3,3,14.74,352.5,396.0,96,522,426,2.82,713.27,0.1091940872271292,1.0779791323448653,3.0,1,7
0217c4393fd54e74a523b63c0fcc3da5,13,230.21,17.71,17.66,9.37,27.08,3,3,17.71,463.85,498.0,6,666,660,1.97,713.07,0.11763172755310368,0.9971767363071711,3.25,1,6
0218964095c94da0bfac44cf40c9343f,9,223.7,24.86,22.14,12.24,40.14,2,2,27.9,435.33,378.0,318,648,330,2.73,713.09,0.17943674564148415,0.8905872888173774,3.0,1,6
021adce38ab34ede96422ae107643fd5,14,247.26,17.66,17.44,8.37,29.35,4,4,20.98,381.0,351.0,174,606,432,3.24,713.15,0.118700962549543,0.9875424688561723,4.666666666666667,4,6
021c1940868647efbcb40ccdb942813b,5,86.28,17.26,15.49,13.55,23.91,1,1,10.36,388.8,366.0,84,714,630,0.79,713.0,0.2771210013908206,0.8974507531865584,1.25,1,2
0222d267445f4f078bc325224e471766,10,23.17,2.32,2.38,0.26,3.9,3,3,3.64,458.4,522.0,192,714,522,1.92,713.0,0.16832110487699609,1.0258620689655173,2.5,1,4
0223ed57fef54575ac0b256937dc68fa,9,14.8,1.64,1.62,0.25,4.25,2,2,4.0,305.33,300.0,78,558,480,1.88,713.22,0.28716216216216217,0.9878048780487806,2.25,1,4
0225045e245f4b7289cc55c0b5870ae2,4,59.09,14.77,14.7,10.21,19.47,1,1,9.26,649.5,651.0,588,708,120,3.33,713.01,0.32949737688272124,0.995260663507109,2.0,2,2
022f5553a0704b53ba26f2d23cb1234d,23,371.91,16.17,15.5,8.17,24.79,6,6,16.62,370.7,336.0,30,714,684,3.36,713.0,0.06665591137640826,0.9585652442795299,4.6,2,10
