person,cnt_tran,sum_am_tran,mean_am_tran,median_am_tran,min_am_tran,max_am_tran,range_amount_tran,mean_t_tran,median_t_tran,min_t_tran,max_t_tran,range_t_tran,freq_tran,last_to_end_tran
00b5fb9d842d437e83033ad9e36f7148,3,7.74,2.58,2.98,0.91,3.85,2.94,554.0,522.0,480,660,180,1.67,54
00b901d68f8f4fd68075184cd0f772d2,4,53.55,13.39,11.85,9.66,20.19,10.53,201.0,84.0,66,570,504,0.79,144
00bbce6533f44ddeaf4dd32bcab55441,7,77.21,11.03,11.28,5.39,18.51,13.12,356.57,354.0,72,600,528,1.33,114
00bc42a62f884b41a13cc595856cf7c3,8,150.64,18.83,18.44,13.63,23.99,10.36,455.25,513.0,18,702,684,1.17,12
00bc983061d3471e8c8e74d31b7c8b6f,3,63.5,21.17,21.4,14.11,27.99,13.88,328.0,306.0,282,396,114,2.63,318
00c20a9202d5475190b31a24de6fb06d,8,164.01,20.5,20.87,14.41,25.2,10.79,417.75,474.0,54,624,570,1.4,90
00c2f812f4604c8893152a5c6572030e,5,124.09,24.82,24.21,12.97,39.06,26.09,376.8,396.0,132,582,450,1.11,132
00c32a104f0c4065b5b552895fb22e34,2,6.98,3.49,3.49,1.05,5.93,4.88,321.0,321.0,258,384,126,1.59,330
00c5a385c71a4d3db5e9b4e31e430943,2,2.59,1.3,1.3,1.03,1.56,0.53,390.0,390.0,222,558,336,0.6,156
00c6035df45840038a72766c6d27a0db,11,241.55,21.96,23.07,8.16,36.65,28.49,375.82,336.0,48,666,618,1.78,48
00c91f31f5f74e769fa7a359b63e1a9f,14,134.74,9.62,8.54,4.2,16.96,12.76,423.86,414.0,204,678,474,2.95,36
00ceaf16a40341e6996d543d04daa2c2,9,26.98,3.0,4.03,0.1,6.86,6.76,370.0,360.0,120,690,570,1.58,24
00cf1bbec83f4a658f8994e556db4633,3,64.27,21.42,17.19,13.8,33.28,19.48,260.0,156.0,60,564,504,0.6,150
00cf471ed1aa42a8bdde5561d67da2b1,8,26.18,3.27,2.06,0.65,8.41,7.76,395.25,399.0,30,660,630,1.27,54
00d6dc87be4146ceb47fcd4baaaf6477,12,334.64,27.89,24.84,19.38,42.75,23.37,445.5,474.0,36,672,636,1.89,42
00d791e20c564add8056498e40eb56cc,19,59.62,3.14,1.76,0.23,10.38,10.15,399.47,474.0,18,654,636,2.99,60
00d7c95f793a4212af44e632fdc1e431,7,162.42,23.2,20.69,18.58,29.39,10.81,445.71,534.0,84,666,582,1.2,48
00d91c5919514448bc4f718e4e3f26ab,2,44.6,22.3,22.3,19.22,25.38,6.16,450.0,450.0,192,708,516,0.39,6
00e20b4ca129458aaab0f4727ef3513a,20,191.55,9.58,2.95,0.13,125.32,125.19,437.7,444.0,36,708,672,2.98,6
00e52682848542c3a6f59b7824e9a5c5,2,23.07,11.54,11.54,7.32,15.75,8.43,609.0,609.0,594,624,30,6.67,90
00e8d701c583461e81cc10053681a12b,7,30.98,4.43,2.98,2.07,9.8,7.73,390.86,342.0,186,702,516,1.36,12
00e9f403afa641889cd034ee7c7ca6e9,17,614.59,36.15,12.03,2.23,439.37,437.14,457.76,534.0,48,708,660,2.58,6
00ed7e22b32749cfafbfd88592d401d4,11,236.96,21.54,21.86,14.64,32.55,17.91,412.91,522.0,12,690,678,1.62,24
00ee2ca6421c4af0aeca60a1b3e00f6c,1,4.03,4.03,4.03,4.03,4.03,0.0,708.0,708.0,708,708,0,0.0,6
00ee69db83964d6da32f8109b32a1ce7,5,15.79,3.16,2.51,1.38,5.88,4.5,484.8,546.0,240,714,474,1.05,0
00fac72fd6ad448e8019b175267023df,10,186.23,18.62,17.69,11.42,26.69,15.27,306.0,249.0,6,648,642,1.56,66
00fbb9b5edb94f02afbaf1eb49bb4d7d,3,80.1,26.7,31.96,15.07,33.07,18.0,308.0,336.0,60,528,468,0.64,186
00fdd4416dec40b49180814c0a7c8d76,3,76.65,25.55,25.14,20.35,31.16,10.81,462.0,432.0,354,600,246,1.22,114
0100dbd4e8554aa69b73b6ac0547f6bf,3,6.55,2.18,2.14,1.4,3.01,1.61,370.0,384.0,54,672,618,0.49,42
0103de989e084e0fab400e80678d7591,11,144.97,13.18,14.25,4.82,21.31,16.49,445.09,438.0,102,666,564,1.95,48
0106d19a26af41288035afc4b9b6c2c2,10,21.24,2.12,1.12,0.31,6.64,6.33,438.0,447.0,138,714,576,1.74,0
01162252405b4524a8fa1bf8e6d5f04b,18,129.86,7.21,7.72,1.44,13.92,12.48,309.33,363.0,6,690,684,2.63,24
01176ee7289b48e39ee6261d5c071a07,5,20.2,4.04,3.17,0.42,10.31,9.89,392.4,390.0,84,654,570,0.88,60
0118fbb66dd2443a9dd407d2c99a7672,3,64.04,21.35,18.94,17.53,27.57,10.04,250.0,204.0,96,450,354,0.85,264
0121fe001b7a404fa9cbe486f8944baf,6,191.68,31.95,30.6,23.18,48.09,24.91,409.0,405.0,276,564,288,2.08,150
0123564dbaf144a88a418c33b6350c17,6,176.74,29.46,30.56,21.74,32.85,11.11,311.0,321.0,36,570,534,1.12,144
012ee55a90bd4d969b0d0cdfaffdf6ab,11,9.98,0.91,0.89,0.14,1.77,1.63,427.64,522.0,36,654,618,1.78,60
013094309e1b49e095c098df412d125d,20,69.18,3.46,2.38,0.14,12.07,11.93,332.1,321.0,72,714,642,3.12,0
01380da907f8495496679c795867790b,8,154.99,19.37,20.51,8.58,25.83,17.25,372.75,414.0,204,564,360,2.22,150
013f2c82889f4641a9b847a48861cce0,9,186.54,20.73,21.55,12.77,33.38,20.61,402.0,378.0,60,666,606,1.49,48
0141d3870a424c03a20390040efad826,4,6.32,1.58,1.09,0.44,3.7,3.26,457.5,483.0,234,630,396,1.01,84
01443a2afce54939a323c978f467c540,16,417.93,26.12,24.82,15.97,40.7,24.73,425.25,447.0,108,672,564,2.84,42
014899c751254a62a96ce676eb11ddc2,10,287.11,28.71,28.18,19.47,42.14,22.67,379.2,378.0,84,678,594,1.68,36
0155a21497d54684a55c3bc609843768,10,7.94,0.79,0.6,0.1,1.68,1.58,360.0,357.0,42,696,654,1.53,18
0157e63b39c5456393026c6c03f3d84a,10,199.65,19.96,20.27,10.23,27.83,17.6,349.2,402.0,0,558,558,1.79,156
015c3d28c67e46aa95e9ec97c27220e8,10,235.41,23.54,24.94,13.31,30.0,16.69,265.2,267.0,12,618,606,1.65,96
015ef929e016415098eeae8ce59da721,3,18.28,6.09,5.46,5.1,7.72,2.62,570.0,630.0,372,708,336,0.89,6
015fb0b3fbaa4aceb910fbdf272f7547,6,14.29,2.38,2.12,0.53,4.33,3.8,417.0,390.0,204,714,510,1.18,0
016086228d58476599d0b47881c25509,5,83.2,16.64,13.17,9.65,31.16,21.51,525.6,648.0,282,696,414,1.21,18
01613170f679422a8acfa96f0f19fdf2,5,10.33,2.07,1.46,1.06,4.45,3.39,391.2,486.0,90,660,570,0.88,54
01633b71b3a2457aa7d35d8bcc3afb5a,8,161.51,20.19,23.52,11.01,24.8,13.79,483.75,450.0,300,714,414,1.93,0
016871ea865d4338975026ae08d221d0,3,45.79,15.26,14.53,12.22,19.04,6.82,238.0,156.0,108,450,342,0.88,264
016b37032984457fb33ba2767fcc8c9f,15,55.18,3.68,3.38,0.06,13.36,13.3,334.8,348.0,12,714,702,2.14,0
016edb1d1d67477391c5337545a5d98a,9,131.05,14.56,14.94,8.29,19.54,11.25,392.67,402.0,90,678,588,1.53,36
017160c1cdb845d48abec3c330b4427e,9,198.09,22.01,22.29,17.61,26.48,8.87,424.0,438.0,48,618,570,1.58,96
01772eae932447f9a853461a60820dc6,8,58.28,7.28,7.75,2.82,10.81,7.99,384.75,390.0,144,600,456,1.75,114
01784d3e205548a594ba3fcdbdaaf17d,13,151.83,11.68,10.96,4.83,24.67,19.84,370.62,462.0,6,654,648,2.01,60
017a93d1204f457bbe85f5e7de062b56,13,110.52,8.5,7.69,1.76,18.64,16.88,441.23,486.0,138,678,540,2.41,36
017febbe52e64ac19cf28cf0d44386e4,10,1003.41,100.34,31.34,22.55,713.2,690.65,252.6,216.0,60,546,486,2.06,168
01873cc8de734961949af7c04b2e9872,18,50.55,2.81,1.74,0.15,7.28,7.13,458.67,492.0,84,672,588,3.06,42
01887dcd32b64feb807e2436548b6c87,3,64.33,21.44,20.1,19.19,25.04,5.85,356.0,300.0,198,570,372,0.81,144
018a49ffb8cf4812903e7c1f56fbb0b0,13,98.65,7.59,6.3,2.98,14.41,11.43,423.69,468.0,66,666,600,2.17,48
018b8f83176d471db63d9733c741fc8a,2,37.04,18.52,18.52,18.47,18.57,0.1,390.0,390.0,228,552,324,0.62,162
01925607d99c460996c281f17cdbb9e2,2,54.62,27.31,27.31,25.48,29.14,3.66,423.0,423.0,336,510,174,1.15,204
0193c118afe84208b33ffeb1dcb277d8,2,6.05,3.02,3.02,2.21,3.84,1.63,603.0,603.0,534,672,138,1.45,42
01956670cf414b309675aa73368b94a9,10,248.65,24.86,23.36,19.92,31.71,11.79,279.6,291.0,72,606,534,1.87,108
0196d2062b8d4d019b8d96292266e8a4,4,61.12,15.28,13.46,6.65,27.56,20.91,165.0,177.0,66,240,174,2.3,474
0199681637524988a14245632b8376af,10,222.96,22.3,25.36,12.73,28.53,15.8,403.8,480.0,24,618,594,1.68,96
019be0c6f8fd4000b1967c7308b4bdf4,21,141.2,6.72,6.31,1.86,12.41,10.55,375.43,378.0,18,708,690,3.04,6
019cc78d8fed432ca6df71c132c72a99,7,16.48,2.35,2.54,0.71,3.39,2.68,360.0,222.0,156,678,522,1.34,36
019ed95d987446e3947da0246cdab831,8,515.09,64.39,25.36,14.21,342.08,327.87,297.0,270.0,78,564,486,1.65,150
01a202a9021e40aeaa5451a5d134c16c,6,156.05,26.01,24.64,18.05,37.66,19.61,366.0,387.0,126,618,492,1.22,96
01a5e8b57bc04e0292525f3e2817fa17,3,57.1,19.03,17.76,13.6,25.74,12.14,230.0,102.0,90,498,408,0.74,216
01ab25c31f034f85bc4ac9d286fb7a76,5,644.29,128.86,17.93,15.56,573.13,557.57,501.6,546.0,300,630,330,1.52,84
01ac633821f0498893320b41b5b22dfc,12,251.46,20.96,22.32,13.34,30.91,17.57,353.5,315.0,12,708,696,1.72,6
01b6d7e8f0884deb936a8a7f15dba895,12,162.9,13.58,11.93,5.23,26.55,21.32,392.5,480.0,6,684,678,1.77,30
01d26f638c274aa0b965d24cefe3183f,8,39.74,4.97,5.04,1.74,8.26,6.52,435.0,399.0,204,672,468,1.71,42
01de69b5edab4b89859ea8a7214ba35a,7,765.88,109.41,21.5,19.73,637.32,617.59,406.29,480.0,108,672,564,1.24,42
01e09d713abe4a36a70a33fe4b40534e,4,86.26,21.56,22.24,14.0,27.79,13.79,552.0,546.0,426,690,264,1.52,24
01e57718fc6b49b2875a9c02b32905b1,15,101.19,6.75,5.31,1.66,24.29,22.63,426.0,456.0,12,714,702,2.14,0
01e8739670a042b3877f8e843bdf55a7,8,181.16,22.64,23.1,12.41,30.29,17.88,306.0,213.0,84,636,552,1.45,78
01e91c5bc14148b2a4de0ce819e4c500,9,13.08,1.45,0.69,0.15,7.35,7.2,351.33,318.0,150,612,462,1.95,102
01e97a4633bf4963838a4aa9ed1dce3e,8,17.96,2.24,1.88,0.47,5.96,5.49,363.75,369.0,78,690,612,1.31,24
01ef4c6618b64334a15914ff9963eaac,5,135.58,27.12,29.8,18.38,35.83,17.45,456.0,474.0,384,522,138,3.62,192
01f33ff554d0443a9841adfd66d253f6,3,53.92,17.97,16.81,16.17,20.94,4.77,494.0,402.0,378,702,324,0.93,12
01f46a5191424005af436cdf48a5da7c,8,166.59,20.82,19.96,13.63,30.08,16.45,346.5,357.0,12,618,606,1.32,96
01f663b988964a4caca8b19abecb551d,5,97.64,19.53,18.77,14.08,30.01,15.93,432.0,396.0,336,612,276,1.81,102
01fe5ec668f241608eb2f7ec374cb1b7,10,161.89,16.19,18.08,7.11,21.78,14.67,442.2,474.0,84,708,624,1.6,6
01ff6c5d8d014dbd8c120e2b43a065ea,9,139.41,15.49,16.75,6.77,22.79,16.02,494.67,468.0,186,666,480,1.88,48
0200f61c69da4c2ea078842cdaf234e6,9,195.01,21.67,22.09,14.15,29.09,14.94,463.33,534.0,90,702,612,1.47,12
020354b1aea342cbaa018993f68fba68,2,7.67,3.84,3.84,0.89,6.78,5.89,636.0,636.0,606,666,60,3.33,48
0206e1388c34454caba2b7fce3123943,4,71.95,17.99,18.2,14.7,20.86,6.16,126.0,45.0,0,414,414,0.97,300
020be6e9805649858595dfbaab15ccd7,16,44.69,2.79,1.37,0.24,7.36,7.12,505.5,561.0,126,714,588,2.72,0
020be8b0fafa446ebcce6449b20bc92c,11,34.88,3.17,3.66,0.63,5.95,5.32,511.64,456.0,222,714,492,2.24,0
020c2d7b3d1b4d24b9502626b2d7ef46,6,20.94,3.49,3.54,1.35,5.04,3.69,485.0,471.0,366,648,282,2.13,66
020cd0f8047142e18a754303f9337d53,13,232.9,17.92,18.82,14.19,21.45,7.26,270.46,228.0,0,600,600,2.17,114
020d3a52b9ce432ea5f98fc58e9bfcc4,6,16.93,2.82,3.4,0.38,5.15,4.77,396.0,408.0,138,624,486,1.23,90
020d72e77c704c42bb0a858c1aaa3bcd,18,252.14,14.01,12.98,5.99,27.89,21.9,362.0,348.0,30,672,642,2.8,42
0215efe5136d4a038cb81eae92d59368,13,767.29,59.02,14.87,11.2,570.78,559.58,282.92,156.0,6,696,690,1.88,18
021616b8deea46438e3badc7fca5894d,12,218.51,18.21,19.63,9.12,23.86,14.74,352.5,396.0,96,522,426,2.82,192
0217c4393fd54e74a523b63c0fcc3da5,13,230.21,17.71,17.66,9.37,27.08,17.71,463.85,498.0,6,666,660,1.97,48
0218964095c94da0bfac44cf40c9343f,9,223.7,24.86,22.14,12.24,40.14,27.9,435.33,378.0,318,648,330,2.73,66
021adce38ab34ede96422ae107643fd5,14,247.26,17.66,17.44,8.37,29.35,20.98,381.0,351.0,174,606,432,3.24,108
021c1940868647efbcb40ccdb942813b,5,86.28,17.26,15.49,13.55,23.91,10.36,388.8,366.0,84,714,630,0.79,0
0222d267445f4f078bc325224e471766,10,23.17,2.32,2.38,0.26,3.9,3.64,458.4,522.0,192,714,522,1.92,0
0223ed57fef54575ac0b256937dc68fa,9,14.8,1.64,1.62,0.25,4.25,4.0,305.33,300.0,78,558,480,1.88,156
0225045e245f4b7289cc55c0b5870ae2,4,59.09,14.77,14.7,10.21,19.47,9.26,649.5,651.0,588,708,120,3.33,6
022f5553a0704b53ba26f2d23cb1234d,23,371.91,16.17,15.5,8.17,24.79,16.62,370.7,336.0,30,714,684,3.36,0
0231c913a51e420783be6bdeb75aa842,8,34.01,4.25,4.4,0.43,11.06,10.63,375.75,366.0,120,666,546,1.47,48
023411b8a45a4715979dae6cec425a8b,10,21.57,2.16,2.05,0.44,3.79,3.35,395.4,480.0,42,660,618,1.62,54
023a42cf62f742b795a975d56955e220,18,50.09,2.78,2.81,0.22,6.73,6.51,260.33,207.0,60,714,654,2.75,0
023fd15e56184ec19e23ed5a31c87543,7,28.0,4.0,4.52,0.21,7.7,7.49,374.57,426.0,36,678,642,1.09,36
024218e67fa549a4a0a99b32b7b6fbf9,11,193.38,17.58,19.38,6.98,25.03,18.05,350.18,348.0,18,630,612,1.8,84
0246e7cc7a3d4a98a940cb13776b5b55,16,47.45,2.97,2.98,1.0,5.6,4.6,497.62,612.0,42,714,672,2.38,0
0246f8fdf0b64014a98822b70231c58d,4,89.37,22.34,21.55,18.67,27.6,8.93,181.5,120.0,36,450,414,0.97,264
0247953d899b4a99acab74fa0a807c0f,10,22.65,2.26,1.92,0.82,4.11,3.29,309.0,330.0,24,618,594,1.68,96
0251876076024444864473545adce065,14,27.9,1.99,1.71,0.19,5.89,5.7,306.43,294.0,90,594,504,2.78,120
0252aa6f0dee4585ba886945c60f48f5,1,10.36,10.36,10.36,10.36,10.36,0.0,282.0,282.0,282,282,0,0.0,432
02557fafcf334c30a22c312c5647f71a,6,17.18,2.86,1.64,0.52,9.34,8.82,248.0,201.0,84,600,516,1.16,114
026876bc8c6a4e0c8e330342c92cc844,1,26.38,26.38,26.38,26.38,26.38,0.0,366.0,366.0,366,366,0,0.0,348
027561a162a54d86b6d45af5071c4d27,3,9.34,3.11,1.59,1.04,6.71,5.67,316.0,252.0,222,474,252,1.19,240
027596e6ed19471392923eb833b25fd3,6,14.86,2.48,1.82,0.92,5.99,5.07,442.0,513.0,186,606,420,1.43,108
02765747959045a0a7c452888b2f31eb,5,49.29,9.86,8.8,4.33,15.15,10.82,421.2,468.0,90,648,558,0.9,66
0276c9a3092d4f79a29d61a1462f9b4d,12,204.49,17.04,15.92,10.04,25.94,15.9,379.0,312.0,30,684,654,1.83,30
027c18923c0146e58ccd615f6a62d82f,11,24.55,2.23,2.17,0.85,5.56,4.71,268.91,228.0,108,528,420,2.62,186
02865fee714e466e99f9bb7a7203887b,5,18.95,3.79,2.34,0.05,9.37,9.32,351.6,282.0,78,696,618,0.81,18
028a12f0ee584455850300886174f3d7,3,72.4,24.13,25.98,15.7,30.72,15.02,174.0,102.0,36,384,348,0.86,330
028c88a958e54c36a31c4800fd6e887b,14,372.02,26.57,24.75,17.33,42.3,24.97,358.29,354.0,24,630,606,2.31,84
0295719cd357460cbab54f2392b01d19,10,34.1,3.41,2.0,0.06,7.91,7.85,352.2,327.0,30,714,684,1.46,0
029e063479234fb1b6c8727c3d45de62,3,69.77,23.26,20.18,12.25,37.34,25.09,88.0,84.0,0,180,180,1.67,534
02a00d256444415da8460cd2a3457ea7,5,22.3,4.46,3.73,2.1,8.91,6.81,492.0,498.0,282,702,420,1.19,12
02a3aa431c1047be8eafec3dcd6b5fd0,6,114.77,19.13,17.2,13.35,25.8,12.45,373.0,375.0,144,624,480,1.25,90
02a458e1233342b79caff81edbcc30a9,2,53.69,26.84,26.84,21.51,32.18,10.67,402.0,402.0,186,618,432,0.46,96
02abd909ebc94aca8766f3f0ee39db80,8,126.42,15.8,17.34,8.72,20.11,11.39,548.25,549.0,408,702,294,2.72,12
02b148f44eee4b9ca7487371472a6781,13,29.23,2.25,2.06,0.14,7.11,6.97,503.08,570.0,168,690,522,2.49,24
02b5aa5725f94bcb94ca58208015b7bc,13,39.91,3.07,2.83,0.58,7.35,6.77,420.92,474.0,78,660,582,2.23,54
02b6895b3cab4f79a116bddc1c70b5c3,16,47.81,2.99,2.94,0.13,9.95,9.82,414.75,405.0,18,690,672,2.38,24
02b7a80a321c4b078af92d494cc0f012,11,400.16,36.38,9.06,6.73,301.03,294.3,430.91,444.0,90,678,588,1.87,36
02ba8c272f284139abef53e0290bfb67,4,91.81,22.95,23.99,17.44,26.39,8.95,325.5,321.0,72,588,516,0.78,126
02c083884c7d45b39cc68e1314fec56c,10,29.89,2.99,2.13,0.5,9.8,9.3,118.8,96.0,0,420,420,2.38,294
02c6daf74a49491ca397f105ef944784,3,78.94,26.31,24.52,22.34,32.08,9.74,340.0,384.0,102,534,432,0.69,180
02c89861ce2c4010bf4ed63f6f6d5df3,13,261.71,20.13,21.74,9.78,29.83,20.05,399.69,426.0,84,612,528,2.46,102
02c8c9806a8c44f792a218fb2e8756b3,4,21.93,5.48,5.9,3.68,6.45,2.77,417.0,441.0,126,660,534,0.75,54
02d206df55d54efda515783e1c525e8d,2,4.43,2.22,2.22,2.12,2.31,0.19,654.0,654.0,612,696,84,2.38,18
02d2c404f19440ff9038c0d60a695cbd,7,19.53,2.79,0.94,0.34,8.66,8.32,278.57,180.0,54,624,570,1.23,90
02db8af535e54416a01aff51836d166f,1,0.61,0.61,0.61,0.61,0.61,0.0,648.0,648.0,648,648,0,0.0,66
02dd040b77914163b1fd02efc3976d55,12,181.82,15.15,15.0,7.09,23.35,16.26,355.0,363.0,6,708,702,1.71,6
02e2211319524b9e8bd09794d00d8513,15,65.97,4.4,4.18,1.6,8.9,7.3,345.6,402.0,12,660,648,2.31,54
02e4c9dff62e4857a429a4be3ba73ed0,14,48.86,3.49,1.75,0.47,13.05,12.58,459.86,459.0,144,684,540,2.59,30
02e5396559f94469b6d03e40d85830c7,8,206.25,25.78,25.35,14.15,36.72,22.57,427.5,468.0,180,630,450,1.78,84
02e6dbe7c694441a88f9160b6b0e1a35,11,148.87,13.53,13.08,8.12,23.05,14.93,276.0,372.0,12,558,546,2.01,156
02e6dd10b22c43fcb5a2dfc0038dac22,11,42.48,3.86,4.11,0.2,7.74,7.54,379.09,396.0,18,660,642,1.71,54
02eba2268a3640bb8e85880e12617c5f,12,188.97,15.75,15.14,9.89,21.27,11.38,444.0,438.0,102,666,564,2.13,48
02efe2a67be247a686f79ba1cbce42f1,10,262.09,26.21,23.35,15.41,39.42,24.01,538.2,603.0,240,684,444,2.25,30
02efe413dd194069ab58abde38ab5e02,6,182.29,30.38,29.66,17.94,49.84,31.9,509.0,552.0,174,714,540,1.11,0
02f446e152254ab7b01e29698932dd01,7,19.24,2.75,2.85,1.09,4.83,3.74,455.14,474.0,246,666,420,1.67,48
02f638a6c98241c98b24a06ca489aac0,5,17.64,3.53,2.78,0.18,6.61,6.43,422.4,498.0,60,690,630,0.79,24
02f77bb76ed14d28a05e23b3e00aeb9b,4,15.82,3.96,5.08,0.05,5.6,5.55,297.0,276.0,72,564,492,0.81,150
03019e49a5164723ae527bbd6949e0c1,8,164.47,20.56,20.92,12.45,30.23,17.78,346.5,309.0,30,696,666,1.2,18
0305b52a24744a9bb660bffc6b39e884,6,127.31,21.22,21.96,16.85,23.56,6.71,469.0,516.0,264,696,432,1.39,18
030c30c1955f4a17be09b692caf5ec5f,16,66.08,4.13,2.7,0.6,13.49,12.89,305.25,249.0,24,714,690,2.32,0
03118ab70a404fada1a433cd6abaa491,18,318.21,17.68,16.84,9.25,30.76,21.51,448.33,519.0,168,714,546,3.3,0
03257d4fcb6641aebaa46d5605d205ca,12,207.63,17.3,18.92,4.63,25.55,20.92,345.5,369.0,60,630,570,2.11,84
032aaa79b15e4103a9e91a786d416734,11,149.24,13.57,3.58,1.79,110.51,108.72,371.45,318.0,174,678,504,2.18,36
0335d274249f4eb6b3c51527f02a3216,12,244.02,20.34,19.13,14.36,29.43,15.07,433.0,474.0,84,642,558,2.15,72
03361f5f681e46ad97796d52caf9afa2,11,18.72,1.7,0.94,0.39,4.75,4.36,501.27,576.0,36,696,660,1.67,18
03374e3f14564b36a7138154ed8c194a,9,26.21,2.91,1.95,0.74,10.34,9.6,524.67,594.0,264,672,408,2.21,42
033bf5269a494dd787e5e9f4a45b843c,2,53.74,26.87,26.87,25.53,28.21,2.68,531.0,531.0,480,582,102,1.96,132
033d0a511a5c452ea2be37a23f8c6dcb,5,112.24,22.45,21.07,14.79,31.91,17.12,432.0,516.0,150,582,432,1.16,132
033f0ee2250e475b87f70115e7895957,3,90.43,30.14,34.52,16.7,39.21,22.51,240.0,276.0,6,438,432,0.69,276
033fed8bb1504885b866429db25543a0,3,89.98,29.99,30.62,21.46,37.9,16.44,322.0,348.0,30,588,558,0.54,126
0340f0361285411ab60a24823b020112,7,20.65,2.95,3.34,0.34,5.14,4.8,384.0,450.0,84,582,498,1.41,132
0342c7c449a84440b3f7a80ad095761a,17,245.22,14.42,15.32,6.02,20.75,14.73,494.12,492.0,126,714,588,2.89,0
0345b2da6507473ca4400ed84dc6725a,13,39.45,3.03,3.24,0.05,9.27,9.22,310.62,282.0,84,618,534,2.43,96
034946bd82b34a219b556a47f1200828,2,22.13,11.06,11.06,10.6,11.53,0.93,375.0,375.0,198,552,354,0.56,162
034b962ed61d4da1bb0baaec84cc2e85,8,139.53,17.44,16.89,6.66,24.65,17.99,362.25,399.0,138,642,504,1.59,72
