,person,gender,age,offer_type,income,cnt_offer_completed,cnt_offer_received,cnt_offer_viewed,t_offer_completed,t_offer_received,t_offer_viewed,to_vr,to_cv,to_cr,curiosity_vr,eagerness_cv,overall_cr,influence,ext_influence
46,00ae03011f9f49b8a4b3e6d416678b0b,M,55,discount,83000,2,3,3,510,360,378,18,132,150,5,0,0,1,0
47,00ae03011f9f49b8a4b3e6d416678b0b,M,55,informational,83000,0,1,1,0,0,60,60,0,0,1,0,0,0,0
48,00aee28bbb3848dd8a31f0c91dc267dd,M,21,bogo,59000,0,2,2,0,456,474,18,0,0,5,0,0,0,0
49,00aee28bbb3848dd8a31f0c91dc267dd,M,21,discount,59000,0,1,0,0,504,0,0,0,0,0,0,0,0,0
50,00b18b535d6d4f779dea4dc9ac451478,M,72,bogo,102000,0,1,1,0,504,504,0,0,0,100,0,0,0,0
51,00b18b535d6d4f779dea4dc9ac451478,M,72,discount,102000,3,3,3,362,248,252,4,110,114,20,0,0,1,0
52,00b18b535d6d4f779dea4dc9ac451478,M,72,informational,102000,0,1,1,0,336,420,84,0,0,1,0,0,0,0
53,00b3400e4ff64ee68ce9ada1d0c222f0,M,62,bogo,80000,1,1,0,264,168,0,0,0,96,0,0,1,0,0
54,00b3400e4ff64ee68ce9ada1d0c222f0,M,62,discount,80000,2,2,1,513,456,594,138,-81,57,0,-1,1,0,0
55,00b3400e4ff64ee68ce9ada1d0c222f0,M,62,informational,80000,0,2,1,0,204,414,210,0,0,0,0,0,0,0
56,00b3c376db2a4115af3aef34a02f61d6,M,50,bogo,104000,2,2,2,417,372,399,27,18,45,3,5,2,1,0
57,00b3c376db2a4115af3aef34a02f61d6,M,50,discount,104000,1,1,0,480,408,0,0,0,72,0,0,1,0,0
58,00b901d68f8f4fd68075184cd0f772d2,F,68,bogo,76000,0,3,3,0,440,464,24,0,0,4,0,0,0,0
59,00b901d68f8f4fd68075184cd0f772d2,F,68,discount,76000,0,1,1,0,168,186,18,0,0,5,0,0,0,0
60,00bbce6533f44ddeaf4dd32bcab55441,M,94,bogo,50000,1,1,1,576,504,504,0,72,72,100,1,1,1,0
61,00bbce6533f44ddeaf4dd32bcab55441,M,94,discount,50000,2,2,2,534,492,519,27,15,42,3,6,2,1,0
62,00bbce6533f44ddeaf4dd32bcab55441,M,94,informational,50000,0,1,1,0,0,66,66,0,0,1,0,0,0,0
63,00bc42a62f884b41a13cc595856cf7c3,M,44,bogo,72000,1,1,1,390,336,372,36,18,54,2,5,1,1,0
64,00bc42a62f884b41a13cc595856cf7c3,M,44,discount,72000,4,4,3,415,372,332,-40,83,43,-2,1,2,1,0
65,00bc983061d3471e8c8e74d31b7c8b6f,M,59,bogo,77000,1,2,1,282,288,264,-24,18,-6,-4,5,-20,1,0
66,00bc983061d3471e8c8e74d31b7c8b6f,M,59,discount,77000,0,2,1,0,252,30,-222,0,0,0,0,0,0,0
67,00c20a9202d5475190b31a24de6fb06d,O,52,bogo,80000,2,2,2,315,288,288,0,27,27,100,3,3,1,0
68,00c20a9202d5475190b31a24de6fb06d,O,52,discount,80000,2,2,2,471,420,456,36,15,51,2,6,1,1,0
69,00c2f812f4604c8893152a5c6572030e,F,58,bogo,102000,1,3,3,582,248,274,26,308,334,3,0,0,1,0
70,00c2f812f4604c8893152a5c6572030e,F,58,discount,102000,2,2,1,498,456,444,-12,54,42,-9,1,2,1,0
71,00c32a104f0c4065b5b552895fb22e34,M,33,bogo,42000,0,1,1,0,168,174,6,0,0,14,0,0,0,0
72,00c32a104f0c4065b5b552895fb22e34,M,33,discount,42000,0,3,2,0,248,327,79,0,0,1,0,0,0,0
73,00c5a385c71a4d3db5e9b4e31e430943,M,28,bogo,35000,0,2,2,0,456,468,12,0,0,7,0,0,0,0
74,00c5a385c71a4d3db5e9b4e31e430943,M,28,discount,35000,0,3,1,0,304,540,236,0,0,0,0,0,0,0
75,00c5a385c71a4d3db5e9b4e31e430943,M,28,informational,35000,0,1,1,0,168,210,42,0,0,2,0,0,0,0
76,00c6035df45840038a72766c6d27a0db,M,47,bogo,86000,1,1,1,180,168,180,12,0,12,7,100,7,1,1
77,00c6035df45840038a72766c6d27a0db,M,47,discount,86000,2,2,2,321,288,294,6,27,33,14,3,2,1,0
78,00c6035df45840038a72766c6d27a0db,M,47,informational,86000,0,1,1,0,336,336,0,0,0,100,0,0,0,0
79,00c91f31f5f74e769fa7a359b63e1a9f,F,22,discount,49000,3,3,3,472,440,448,8,24,32,11,4,3,1,0
80,00c91f31f5f74e769fa7a359b63e1a9f,F,22,informational,49000,0,2,1,0,84,168,84,0,0,1,0,0,0,0
81,00ceaf16a40341e6996d543d04daa2c2,M,34,bogo,38000,0,3,3,0,304,322,18,0,0,5,0,0,0,0
82,00ceaf16a40341e6996d543d04daa2c2,M,34,discount,38000,0,2,1,0,540,624,84,0,0,1,0,0,0,0
83,00cf1bbec83f4a658f8994e556db4633,M,53,discount,73000,2,3,3,564,336,376,40,188,228,2,0,0,1,0
84,00cf471ed1aa42a8bdde5561d67da2b1,M,53,bogo,40000,1,3,2,438,384,420,36,18,54,2,5,1,1,0
85,00cf471ed1aa42a8bdde5561d67da2b1,M,53,discount,40000,0,2,1,0,252,138,-114,0,0,0,0,0,0,0
86,00d6dc87be4146ceb47fcd4baaaf6477,F,58,bogo,115000,3,3,3,344,304,334,30,10,40,3,9,2,1,0
87,00d6dc87be4146ceb47fcd4baaaf6477,F,58,discount,115000,2,2,1,375,336,504,168,-129,39,0,0,2,0,0
88,00d6dc87be4146ceb47fcd4baaaf6477,F,58,informational,115000,0,1,0,0,408,0,0,0,0,0,0,0,0,0
89,00d791e20c564add8056498e40eb56cc,M,22,bogo,32000,3,3,3,526,496,508,12,18,30,7,5,3,1,0
90,00d791e20c564add8056498e40eb56cc,M,22,discount,32000,1,1,1,102,0,6,6,96,102,14,1,0,1,0
91,00d791e20c564add8056498e40eb56cc,M,22,informational,32000,0,1,1,0,168,246,78,0,0,1,0,0,0,0
92,00d7c95f793a4212af44e632fdc1e431,M,71,bogo,75000,2,2,2,294,204,255,51,39,90,1,2,1,1,0
93,00d7c95f793a4212af44e632fdc1e431,M,71,discount,75000,3,3,1,558,472,654,182,-96,86,0,-1,1,0,0
94,00d91c5919514448bc4f718e4e3f26ab,M,45,bogo,88000,1,2,1,708,540,582,42,126,168,2,0,0,1,0
95,00d91c5919514448bc4f718e4e3f26ab,M,45,discount,88000,0,2,2,0,168,189,21,0,0,4,0,0,0,0
96,00d91c5919514448bc4f718e4e3f26ab,M,45,informational,88000,0,1,1,0,168,252,84,0,0,1,0,0,0,0
97,00e20b4ca129458aaab0f4727ef3513a,F,82,bogo,33000,0,1,1,0,0,36,36,0,0,2,0,0,0,0
98,00e20b4ca129458aaab0f4727ef3513a,F,82,discount,33000,2,2,2,522,492,501,9,21,30,10,4,3,1,0
99,00e52682848542c3a6f59b7824e9a5c5,M,40,bogo,65000,0,2,1,0,168,372,204,0,0,0,0,0,0,0
100,00e52682848542c3a6f59b7824e9a5c5,M,40,discount,65000,1,2,2,624,288,345,57,279,336,1,0,0,1,0
101,00e52682848542c3a6f59b7824e9a5c5,M,40,informational,65000,0,1,1,0,576,588,12,0,0,7,0,0,0,0
102,00e8d701c583461e81cc10053681a12b,M,35,bogo,70000,0,1,1,0,336,336,0,0,0,100,0,0,0,0
103,00e8d701c583461e81cc10053681a12b,M,35,discount,70000,1,2,1,324,372,276,-96,48,-48,-1,2,-2,1,0
104,00e8d701c583461e81cc10053681a12b,M,35,informational,70000,0,1,1,0,0,12,12,0,0,7,0,0,0,0
105,00e9f403afa641889cd034ee7c7ca6e9,M,73,discount,45000,3,3,2,516,496,543,47,-27,20,2,-3,4,0,0
106,00e9f403afa641889cd034ee7c7ca6e9,M,73,informational,45000,0,2,2,0,168,240,72,0,0,1,0,0,0,0
107,00ed7e22b32749cfafbfd88592d401d4,M,55,bogo,94000,1,2,1,198,252,174,-78,24,-54,-1,4,-1,1,0
108,00ed7e22b32749cfafbfd88592d401d4,M,55,discount,94000,2,2,1,522,456,516,60,6,66,1,14,1,1,0
109,00ee2ca6421c4af0aeca60a1b3e00f6c,M,60,bogo,74000,0,1,1,0,408,498,90,0,0,1,0,0,0,0
110,00ee2ca6421c4af0aeca60a1b3e00f6c,M,60,discount,74000,0,2,2,0,420,432,12,0,0,7,0,0,0,0
111,00ee2ca6421c4af0aeca60a1b3e00f6c,M,60,informational,74000,0,1,1,0,168,174,6,0,0,14,0,0,0,0
112,00ee69db83964d6da32f8109b32a1ce7,M,45,bogo,52000,0,3,3,0,248,274,26,0,0,3,0,0,0,0
113,00ee69db83964d6da32f8109b32a1ce7,M,45,discount,52000,0,1,0,0,336,0,0,0,0,0,0,0,0,0
114,00ee69db83964d6da32f8109b32a1ce7,M,45,informational,52000,0,1,1,0,504,546,42,0,0,2,0,0,0,0
115,00fac72fd6ad448e8019b175267023df,M,57,bogo,80000,2,2,2,276,252,279,27,-3,24,3,-50,4,0,0
116,00fac72fd6ad448e8019b175267023df,M,57,discount,80000,2,2,2,408,372,435,63,-27,36,1,-3,2,0,0
117,00fbb9b5edb94f02afbaf1eb49bb4d7d,F,56,bogo,91000,1,2,2,336,456,492,36,-156,-120,2,0,0,0,0
118,00fbb9b5edb94f02afbaf1eb49bb4d7d,F,56,informational,91000,0,1,1,0,0,36,36,0,0,2,0,0,0,0
119,00fdd4416dec40b49180814c0a7c8d76,M,55,discount,104000,1,1,1,600,576,594,18,6,24,5,14,4,1,0
120,00fdd4416dec40b49180814c0a7c8d76,M,55,informational,104000,0,2,1,0,288,426,138,0,0,0,0,0,0,0
121,0103de989e084e0fab400e80678d7591,M,19,bogo,50000,2,2,2,501,492,519,27,-18,9,3,-5,10,0,0
122,0103de989e084e0fab400e80678d7591,M,19,discount,50000,3,3,1,452,336,384,48,68,116,2,1,0,1,0
123,01162252405b4524a8fa1bf8e6d5f04b,F,68,bogo,32000,1,2,1,594,540,606,66,-12,54,1,-9,1,0,0
124,01162252405b4524a8fa1bf8e6d5f04b,F,68,discount,32000,3,3,2,282,192,210,18,72,90,5,1,1,1,0
125,01162252405b4524a8fa1bf8e6d5f04b,F,68,informational,32000,0,1,1,0,336,336,0,0,0,100,0,0,0,0
126,01176ee7289b48e39ee6261d5c071a07,M,52,discount,38000,1,4,3,390,354,384,30,6,36,3,14,2,1,0
127,0118fbb66dd2443a9dd407d2c99a7672,M,57,discount,55000,0,2,2,0,336,432,96,0,0,1,0,0,0,0
128,0118fbb66dd2443a9dd407d2c99a7672,M,57,informational,55000,0,2,2,0,168,252,84,0,0,1,0,0,0,0
129,0121fe001b7a404fa9cbe486f8944baf,F,86,bogo,109000,1,3,1,444,328,78,-250,366,116,0,0,0,1,0
130,0121fe001b7a404fa9cbe486f8944baf,F,86,discount,109000,2,2,1,441,420,516,96,-75,21,1,-1,4,0,0
131,0121fe001b7a404fa9cbe486f8944baf,F,86,informational,109000,0,1,0,0,168,0,0,0,0,0,0,0,0,0
132,0123564dbaf144a88a418c33b6350c17,F,54,bogo,117000,1,2,1,168,372,576,204,-408,-204,0,0,0,0,0
133,0123564dbaf144a88a418c33b6350c17,F,54,discount,117000,1,1,1,36,0,0,0,36,36,100,2,2,1,0
134,0123564dbaf144a88a418c33b6350c17,F,54,informational,117000,0,2,1,0,456,510,54,0,0,1,0,0,0,0
135,013094309e1b49e095c098df412d125d,M,58,bogo,54000,1,3,3,384,440,468,28,-84,-56,3,-1,-1,0,0
136,013094309e1b49e095c098df412d125d,M,58,discount,54000,2,2,2,219,84,150,66,69,135,1,1,0,1,0
137,01380da907f8495496679c795867790b,F,86,bogo,73000,2,3,2,306,360,267,-93,39,-54,-1,2,-1,1,0
138,01380da907f8495496679c795867790b,F,86,informational,73000,0,1,1,0,408,408,0,0,0,100,0,0,0,0
139,013f2c82889f4641a9b847a48861cce0,M,67,bogo,79000,2,2,2,375,336,339,3,36,39,25,2,2,1,0
140,013f2c82889f4641a9b847a48861cce0,M,67,discount,79000,1,1,1,336,336,336,0,0,0,100,100,100,1,1
141,013f2c82889f4641a9b847a48861cce0,M,67,informational,79000,0,1,1,0,0,6,6,0,0,14,0,0,0,0
142,0141d3870a424c03a20390040efad826,M,70,bogo,60000,0,1,1,0,576,582,6,0,0,14,0,0,0,0
143,0141d3870a424c03a20390040efad826,M,70,discount,60000,0,3,2,0,336,432,96,0,0,1,0,0,0,0
144,0141d3870a424c03a20390040efad826,M,70,informational,60000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,01443a2afce54939a323c978f467c540,F,61,bogo,118000,3,3,3,462,440,450,10,12,22,9,7,4,1,0
146,01443a2afce54939a323c978f467c540,F,61,discount,118000,2,2,2,360,336,363,27,-3,24,3,-50,4,0,0
147,014899c751254a62a96ce676eb11ddc2,F,52,bogo,115000,1,1,0,204,168,0,0,0,36,0,0,2,0,0
148,014899c751254a62a96ce676eb11ddc2,F,52,discount,115000,2,2,2,483,456,465,9,18,27,10,5,3,1,0
149,014899c751254a62a96ce676eb11ddc2,F,52,informational,115000,0,3,3,0,304,356,52,0,0,1,0,0,0,0
150,0157e63b39c5456393026c6c03f3d84a,F,70,bogo,76000,2,2,2,468,456,468,12,0,12,7,100,7,1,1
151,0157e63b39c5456393026c6c03f3d84a,F,70,discount,76000,1,1,1,234,168,168,0,66,66,100,1,1,1,0
152,015c3d28c67e46aa95e9ec97c27220e8,M,56,bogo,99000,1,1,1,618,576,582,6,36,42,14,2,2,1,0
153,015c3d28c67e46aa95e9ec97c27220e8,M,56,discount,99000,4,4,4,306,270,271,1,34,36,40,2,2,1,0
154,015ef929e016415098eeae8ce59da721,F,44,discount,35000,1,3,1,708,496,630,134,78,212,0,1,0,1,0
155,015ef929e016415098eeae8ce59da721,F,44,informational,35000,0,2,0,0,84,0,0,0,0,0,0,0,0,0
156,015fb0b3fbaa4aceb910fbdf272f7547,M,46,bogo,35000,0,4,4,0,330,370,40,0,0,2,0,0,0,0
157,015fb0b3fbaa4aceb910fbdf272f7547,M,46,informational,35000,0,1,0,0,168,0,0,0,0,0,0,0,0,0
158,016086228d58476599d0b47881c25509,F,84,bogo,74000,0,1,1,0,0,6,6,0,0,14,0,0,0,0
159,016086228d58476599d0b47881c25509,F,84,discount,74000,2,2,2,495,372,474,102,21,123,0,4,0,1,0
160,016086228d58476599d0b47881c25509,F,84,informational,74000,0,1,0,0,504,0,0,0,0,0,0,0,0,0
161,01613170f679422a8acfa96f0f19fdf2,M,22,bogo,57000,0,2,2,0,288,309,21,0,0,4,0,0,0,0
162,01613170f679422a8acfa96f0f19fdf2,M,22,discount,57000,0,1,0,0,504,0,0,0,0,0,0,0,0,0
163,01613170f679422a8acfa96f0f19fdf2,M,22,informational,57000,0,1,1,0,336,432,96,0,0,1,0,0,0,0
164,01633b71b3a2457aa7d35d8bcc3afb5a,M,62,bogo,90000,2,2,2,375,372,372,0,3,3,100,25,25,1,0
165,01633b71b3a2457aa7d35d8bcc3afb5a,M,62,discount,90000,2,2,2,600,540,573,33,27,60,2,3,1,1,0
166,016871ea865d4338975026ae08d221d0,F,57,bogo,79000,0,1,0,0,504,0,0,0,0,0,0,0,0,0
167,016871ea865d4338975026ae08d221d0,F,57,discount,79000,1,2,0,108,288,0,0,0,-180,0,0,0,0,0
168,016871ea865d4338975026ae08d221d0,F,57,informational,79000,0,3,2,0,304,300,-4,0,0,-33,0,0,0,0
169,016b37032984457fb33ba2767fcc8c9f,M,24,discount,56000,0,3,0,0,416,0,0,0,0,0,0,0,0,0
170,016b37032984457fb33ba2767fcc8c9f,M,24,informational,56000,0,2,2,0,168,186,18,0,0,5,0,0,0,0
171,016edb1d1d67477391c5337545a5d98a,F,66,discount,57000,3,3,2,476,384,516,132,-40,92,0,-2,1,0,0
172,016edb1d1d67477391c5337545a5d98a,F,66,informational,57000,0,3,3,0,280,288,8,0,0,11,0,0,0,0
173,017160c1cdb845d48abec3c330b4427e,F,68,bogo,76000,1,1,1,570,504,540,36,30,66,2,3,1,1,0
174,017160c1cdb845d48abec3c330b4427e,F,68,discount,76000,2,2,0,522,492,0,0,0,30,0,0,3,0,0
175,017160c1cdb845d48abec3c330b4427e,F,68,informational,76000,0,1,1,0,168,384,216,0,0,0,0,0,0,0
176,01772eae932447f9a853461a60820dc6,F,54,bogo,30000,1,3,3,420,192,234,42,186,228,2,0,0,1,0
177,01772eae932447f9a853461a60820dc6,F,54,informational,30000,0,1,0,0,336,0,0,0,0,0,0,0,0,0
178,01784d3e205548a594ba3fcdbdaaf17d,M,20,bogo,43000,2,2,2,516,456,480,24,36,60,4,2,1,1,0
179,01784d3e205548a594ba3fcdbdaaf17d,M,20,discount,43000,1,1,0,636,576,0,0,0,60,0,0,1,0,0
180,01784d3e205548a594ba3fcdbdaaf17d,M,20,informational,43000,0,1,1,0,168,234,66,0,0,1,0,0,0,0
181,017a93d1204f457bbe85f5e7de062b56,M,56,bogo,35000,1,1,1,594,576,576,0,18,18,100,5,5,1,0
182,017a93d1204f457bbe85f5e7de062b56,M,56,discount,35000,1,2,2,468,288,336,48,132,180,2,0,0,1,0
183,017a93d1204f457bbe85f5e7de062b56,M,56,informational,35000,0,2,2,0,168,201,33,0,0,2,0,0,0,0
184,017febbe52e64ac19cf28cf0d44386e4,M,61,bogo,100000,2,2,2,132,84,102,18,30,48,5,3,2,1,0
185,017febbe52e64ac19cf28cf0d44386e4,M,61,discount,100000,1,2,1,510,492,444,-48,66,18,-2,1,5,1,0
186,017febbe52e64ac19cf28cf0d44386e4,M,61,informational,100000,0,2,2,0,420,450,30,0,0,3,0,0,0,0
187,01873cc8de734961949af7c04b2e9872,M,72,bogo,45000,0,2,2,0,456,456,0,0,0,100,0,0,0,0
188,01873cc8de734961949af7c04b2e9872,M,72,discount,45000,1,2,2,396,252,336,84,60,144,1,1,0,1,0
189,01873cc8de734961949af7c04b2e9872,M,72,informational,45000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,01887dcd32b64feb807e2436548b6c87,M,61,bogo,78000,1,2,2,570,540,552,12,18,30,7,5,3,1,0
191,01887dcd32b64feb807e2436548b6c87,M,61,discount,78000,1,1,1,570,408,408,0,162,162,100,0,0,1,0
192,01887dcd32b64feb807e2436548b6c87,M,61,informational,78000,0,3,3,0,168,180,12,0,0,7,0,0,0,0
193,018a49ffb8cf4812903e7c1f56fbb0b0,M,61,bogo,34000,4,4,4,409,372,384,12,25,37,7,3,2,1,0
194,018a49ffb8cf4812903e7c1f56fbb0b0,M,61,informational,34000,0,1,1,0,168,192,24,0,0,4,0,0,0,0
195,018b8f83176d471db63d9733c741fc8a,F,75,bogo,109000,2,2,2,390,288,324,36,66,102,2,1,0,1,0
196,01925607d99c460996c281f17cdbb9e2,F,57,bogo,116000,3,4,2,452,456,393,-63,59,-4,-1,1,-33,1,0
197,01956670cf414b309675aa73368b94a9,M,52,bogo,95000,2,2,2,288,252,309,57,-21,36,1,-5,2,0,0
198,01956670cf414b309675aa73368b94a9,M,52,discount,95000,3,3,2,374,304,309,5,65,70,16,1,1,1,0
199,0196d2062b8d4d019b8d96292266e8a4,F,60,discount,51000,1,3,2,240,360,477,117,-237,-120,0,0,0,0,0
200,0196d2062b8d4d019b8d96292266e8a4,F,60,informational,51000,0,1,1,0,336,372,36,0,0,2,0,0,0,0
201,0199681637524988a14245632b8376af,F,74,bogo,72000,3,3,3,308,280,282,2,26,28,33,3,3,1,0
202,0199681637524988a14245632b8376af,F,74,discount,72000,1,1,0,444,408,0,0,0,36,0,0,2,0,0
203,019be0c6f8fd4000b1967c7308b4bdf4,F,23,bogo,33000,1,3,2,426,304,324,20,102,122,4,0,0,1,0
204,019be0c6f8fd4000b1967c7308b4bdf4,F,23,discount,33000,2,2,2,282,252,270,18,12,30,5,7,3,1,0
205,019cc78d8fed432ca6df71c132c72a99,M,27,bogo,39000,0,2,1,0,456,528,72,0,0,1,0,0,0,0
206,019cc78d8fed432ca6df71c132c72a99,M,27,discount,39000,0,3,1,0,304,12,-292,0,0,0,0,0,0,0
207,019ed95d987446e3947da0246cdab831,M,59,bogo,76000,1,1,1,78,0,24,24,54,78,4,1,1,1,0
208,019ed95d987446e3947da0246cdab831,M,59,discount,76000,1,2,0,348,456,0,0,0,-108,0,0,0,0,0
209,01a202a9021e40aeaa5451a5d134c16c,F,74,bogo,91000,1,1,0,618,504,0,0,0,114,0,0,0,0,0
210,01a202a9021e40aeaa5451a5d134c16c,F,74,discount,91000,1,1,1,126,0,0,0,126,126,100,0,0,1,0
211,01a202a9021e40aeaa5451a5d134c16c,F,74,informational,91000,0,2,1,0,456,354,-102,0,0,0,0,0,0,0
212,01a5e8b57bc04e0292525f3e2817fa17,M,55,bogo,79000,0,2,2,0,336,336,0,0,0,100,0,0,0,0
213,01a5e8b57bc04e0292525f3e2817fa17,M,55,discount,79000,1,1,1,90,0,18,18,72,90,5,1,1,1,0
214,01ab25c31f034f85bc4ac9d286fb7a76,F,87,bogo,77000,3,3,3,526,472,480,8,46,54,11,2,1,1,0
215,01ab25c31f034f85bc4ac9d286fb7a76,F,87,discount,77000,1,1,1,300,168,168,0,132,132,100,0,0,1,0
216,01ac633821f0498893320b41b5b22dfc,F,53,bogo,88000,3,3,3,270,248,278,30,-8,22,3,-14,4,0,0
217,01ac633821f0498893320b41b5b22dfc,F,53,discount,88000,2,2,1,528,420,522,102,6,108,0,14,0,1,0
218,01ac633821f0498893320b41b5b22dfc,F,53,informational,88000,0,1,0,0,408,0,0,0,0,0,0,0,0,0
219,01b6d7e8f0884deb936a8a7f15dba895,M,48,bogo,52000,1,1,1,6,0,24,24,-18,6,4,-5,14,0,0
220,01b6d7e8f0884deb936a8a7f15dba895,M,48,discount,52000,3,4,4,566,414,457,43,108,152,2,0,0,1,0
